legislador,clave,legislador_id,camara,distrito,bloque,bloque_norm,desde,hasta,bloque_linaje,fuente,nota
Beatriz Graciela Mirkin,BEATRIZ GRACIELA MIRKIN,leg:ae3f9eacca8f,senado,TUCUMAN,PERONISMO TUCUMÁN,PERONISMO TUCUMAN,2017-12-10,2019-12-09,OTRO / PROVINCIAL,wikipedia:2017-2019,
Beatriz Graciela Mirkin,BEATRIZ GRACIELA MIRKIN,leg:ae3f9eacca8f,senado,PROVINCIA DE TUCUMAN TUCUMAN,FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-12-09,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
"BEDIA, VILMA FACUNDA",BEDIA FACUNDA VILMA,leg:25d3a78b8a4b,senado,JUJUY,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-12-10,2029-12-09,LA LIBERTAD AVANZA,oficial:nomina_senado,
"MONTE DE OCA, MARÍA BELÉN",BELEN MARIA MONTE OCA,leg:43475430d69a,senado,"TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR",LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-12-10,2031-12-09,LA LIBERTAD AVANZA,oficial:nomina_senado,
María Belén Tapia,BELEN MARIA TAPIA,leg:9777e0ec1f83,senado,SANTA CRUZ,UNIÓN CÍVICA RADICAL,UCR,2017-12-10,2023-12-09,RADICALISMO,wikipedia:2017-2019,
"CORPACCI, LUCÍA BENIGNA",BENIGNA CORPACCI LUCIA,leg:a84fc3e1b3b3,senado,CATAMARCA,JUSTICIALISTA,JUSTICIALISTA,2021-12-10,2027-12-09,FdT-UxP (kirchnerismo),oficial:nomina_senado,
"BENSUSÁN, DANIEL PABLO",BENSUSAN DANIEL PABLO,leg:4a35b877c3f8,senado,LA PAMPA,JUSTICIALISTA,JUSTICIALISTA,2021-12-10,2027-12-09,FdT-UxP (kirchnerismo),oficial:nomina_senado,
Blanca Porcel de Riccobelli,BLANCA PORCEL RICCOBELLI,leg:6e96f1c8f49e,senado,SANTIAGO DEL ESTERO,FRENTE CÍVICO POR SANTIAGO,FRENTE CIVICO POR SANTIAGO,2017-12-10,2019-12-09,OTRO / PROVINCIAL,wikipedia:2017-2019,
Pablo Daniel Blanco,BLANCO DANIEL PABLO,leg:89a10d2d3f8d,senado,"PROVINCIA DE TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR TIERRA DEL FUEGO",UNIÓN CÍVICA RADICAL,UCR,2019-12-10,2025-12-09,RADICALISMO,wikipedia:2019-2021,
Inés Imelda Blas,BLAS IMELDA INES,leg:e7f654b18197,senado,CATAMARCA,JUSTICIALISTA,JUSTICIALISTA,2017-12-10,2019-12-09,PERONISMO FEDERAL,wikipedia:2017-2019,
Inés Imelda Blas,BLAS IMELDA INES,leg:e7f654b18197,senado,PROVINCIA DE CATAMARCA CATAMARCA,FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-12-09,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
Miriam Ruth Boyadjian,BOYADJIAN MIRIAM RUTH,leg:d03b1ff94009,senado,TIERRA DEL FUEGO,MOVIMIENTO POPULAR FUEGUINO,MOVIMIENTO POPULAR FUEGUINO,2017-12-10,2019-12-09,OTRO / PROVINCIAL,wikipedia:2017-2019,
Néstor Pedro Braillard Poccard,BRAILLARD NESTOR PEDRO POCCARD,leg:719538576d2b,senado,CORRIENTES,FRENTE PRO,FRENTE PRO,2017-12-10,2021-12-09,PRO,wikipedia:2017-2019,
Olga Inés Brizuela y Doria de Cara,BRIZUELA CARA DORIA INES OLGA,leg:db10448b95f2,senado,LA RIOJA,UNIÓN CÍVICA RADICAL,UCR,2017-12-10,2019-12-09,RADICALISMO,wikipedia:2017-2019,
Esteban José Bullrich,BULLRICH ESTEBAN JOSE,leg:f9d7b40b157b,senado,BUENOS AIRES,FRENTE PRO,FRENTE PRO,2017-12-10,2021-12-09,PRO,wikipedia:2017-2019,
"BULLRICH, PATRICIA",BULLRICH PATRICIA,leg:9fe263c7921e,senado,CIUDAD AUTÓNOMA DE BUENOS AIRES,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-12-10,2031-12-09,LA LIBERTAD AVANZA,oficial:nomina_senado,
Cristina del Carmen López Valverde,CANDIDA CRISTINA LOPEZ,leg:b4636ff7f44f,senado,SAN JUAN,JUSTICIALISTA,JUSTICIALISTA,2017-12-10,2019-12-09,PERONISMO FEDERAL,wikipedia:2017-2019,
Cristina del Carmen López Valverde,CANDIDA CRISTINA LOPEZ,leg:b4636ff7f44f,senado,PROVINCIA DE SAN JUAN (ARGENTINA) SAN JUAN,FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-12-09,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
Cristina del Carmen López Valverde,CANDIDA CRISTINA LOPEZ,leg:b4636ff7f44f,senado,PROVINCIA DE SAN JUAN (ARGENTINA) SAN JUAN,FRENTE NACIONAL Y POPULAR,FRENTE NACIONAL Y POPULAR,2021-12-10,2023-12-09,FdT-UxP (kirchnerismo),wikipedia:2021-2023,
Cristina del Carmen López Valverde,CANDIDA CRISTINA LOPEZ,leg:b4636ff7f44f,senado,"PROVINCIA DE TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR TIERRA DEL FUEGO",UNIDAD CIUDADANA [ 19 ],UNIDAD CIUDADANA [ 19 ],2023-12-10,2025-12-09,OTRO / PROVINCIAL,wikipedia:2023-2025,
Cristina del Carmen López Valverde,CANDIDA CRISTINA LOPEZ,leg:b4636ff7f44f,senado,"TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR",JUSTICIALISTA,JUSTICIALISTA,2025-12-10,2031-12-09,FdT-UxP (kirchnerismo),oficial:nomina_senado,
"CAPITANICH, JORGE MILTON",CAPITANICH JORGE MILTON,leg:11127a15ffa6,senado,CHACO,JUSTICIALISTA,JUSTICIALISTA,2025-12-10,2031-12-09,FdT-UxP (kirchnerismo),oficial:nomina_senado,
"CARAMBIA, JOSÉ MARÍA",CARAMBIA JOSE MARIA,leg:d3ec8dfa762b,senado,SANTA CRUZ,MOVERE SANTA CRUZ,MOVERE SANTA CRUZ,2023-12-10,2029-12-09,OTRO / PROVINCIAL,oficial:nomina_senado,
"ESPÍNOLA, CARLOS MAURICIO",CARLOS ESPINOLA MAURICIO,leg:0373ca050c72,senado,CORRIENTES,JUSTICIALISTA,JUSTICIALISTA,2017-12-10,2019-12-09,PERONISMO FEDERAL,wikipedia:2017-2019,
"ESPÍNOLA, CARLOS MAURICIO",CARLOS ESPINOLA MAURICIO,leg:0373ca050c72,senado,PROVINCIA DE CORRIENTES CORRIENTES,FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-12-09,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
"ESPÍNOLA, CARLOS MAURICIO",CARLOS ESPINOLA MAURICIO,leg:0373ca050c72,senado,CORRIENTES,PROVINCIAS UNIDAS,PROVINCIAS UNIDAS,2021-12-10,2027-12-09,OTRO / PROVINCIAL,oficial:nomina_senado,
Juan Carlos Marino,CARLOS JUAN MARINO,leg:28ecb19ad84d,senado,LA PAMPA,UNIÓN CÍVICA RADICAL,UCR,2017-12-10,2021-12-09,RADICALISMO,wikipedia:2017-2019,
"PAGOTTO, JUAN CARLOS",CARLOS JUAN PAGOTTO,leg:3f415df39c7d,senado,LA RIOJA,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-12-10,2029-12-09,LA LIBERTAD AVANZA,oficial:nomina_senado,
Juan Carlos Romero,CARLOS JUAN ROMERO,leg:c2cf5a671498,senado,SALTA,JUSTICIALISTA 8 DE OCTUBRE,JUSTICIALISTA 8 DE OCTUBRE,2017-12-10,2021-12-09,PERONISMO FEDERAL,wikipedia:2017-2019,
Juan Carlos Romero,CARLOS JUAN ROMERO,leg:c2cf5a671498,senado,PROVINCIA DE SALTA SALTA,CAMBIO FEDERAL,CAMBIO FEDERAL,2021-12-10,2023-12-09,OTRO / PROVINCIAL,wikipedia:2021-2023,
Juan Carlos Romero,CARLOS JUAN ROMERO,leg:c2cf5a671498,senado,PROVINCIA DE SALTA SALTA,CAMBIO FEDERAL [ 17 ],CAMBIO FEDERAL [ 17 ],2023-12-10,2025-12-09,OTRO / PROVINCIAL,wikipedia:2023-2025,
Luis Carlos Petcoff Naidenoff,CARLOS LUIS NAIDENOFF PETCOFF,leg:61caaf7f3421,senado,FORMOSA,UNIÓN CÍVICA RADICAL,UCR,2017-12-10,2023-12-09,RADICALISMO,wikipedia:2017-2019,
Carlos Saúl Menem,CARLOS MENEM SAUL,leg:75dbc424a522,senado,LA RIOJA,JUSTICIALISTA,JUSTICIALISTA,2017-12-10,2019-12-09,PERONISMO FEDERAL,wikipedia:2017-2019,
Carlos Saúl Menem,CARLOS MENEM SAUL,leg:75dbc424a522,senado,PROVINCIA DE LA RIOJA (ARGENTINA) LA RIOJA,FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-02-14,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
Carmen Lucila Crexell,CARMEN CREXELL LUCILA,leg:b35f12f73e05,senado,NEUQUEN,PERONISMO REPUBLICANO,PERONISMO REPUBLICANO,2017-12-10,2019-12-09,PERONISMO FEDERAL,wikipedia:2017-2019,
Carmen Lucila Crexell,CARMEN CREXELL LUCILA,leg:b35f12f73e05,senado,PROVINCIA DEL NEUQUEN NEUQUEN,MOVIMIENTO NEUQUINO,MOVIMIENTO NEUQUINO,2019-12-10,2021-12-09,OTRO / PROVINCIAL,wikipedia:2019-2021,
Carmen Lucila Crexell,CARMEN CREXELL LUCILA,leg:b35f12f73e05,senado,PROVINCIA DEL NEUQUEN NEUQUEN,CAMBIO FEDERAL,CAMBIO FEDERAL,2021-12-10,2023-12-09,OTRO / PROVINCIAL,wikipedia:2021-2023,
Carmen Lucila Crexell,CARMEN CREXELL LUCILA,leg:b35f12f73e05,senado,PROVINCIA DEL NEUQUEN NEUQUEN,MOVIMIENTO NEUQUINO,MOVIMIENTO NEUQUINO,2023-12-10,2025-12-09,OTRO / PROVINCIAL,wikipedia:2023-2025,
"MORENO, ELIA ESTHER DEL CARMEN",CARMEN ELIA ESTHER MORENO,leg:01b22a551f11,senado,SANTIAGO DEL ESTERO,FRENTE CÍVICO POR SANTIAGO,FRENTE CIVICO POR SANTIAGO,2025-12-10,2031-12-09,OTRO / PROVINCIAL,oficial:nomina_senado,
"LOSADA, CAROLINA",CAROLINA LOSADA,leg:485609c6ca41,senado,SANTA FE,UCR - UNIÓN CÍVICA RADICAL,UCR,2021-12-10,2027-12-09,RADICALISMO,oficial:nomina_senado,
"MOISES, MARÍA CAROLINA",CAROLINA MARIA MOISES,leg:690897355ef6,senado,JUJUY,CONVICCIÓN FEDERAL,CONVICCION FEDERAL,2023-12-10,2029-12-09,OTRO / PROVINCIAL,oficial:nomina_senado,
Julio César Catalán Magni,CATALAN CESAR JULIO MAGNI,leg:89df147cc24c,senado,TIERRA DEL FUEGO,JUSTICIALISTA,JUSTICIALISTA,2017-12-10,2019-12-09,PERONISMO FEDERAL,wikipedia:2017-2019,
María Eugenia Catalfamo,CATALFAMO EUGENIA MARIA,leg:e2fdd9565ac4,senado,SAN LUIS,JUSTICIALISMO SAN LUIS,JUSTICIALISMO SAN LUIS,2017-12-10,2019-12-09,OTRO / PROVINCIAL,wikipedia:2017-2019,
María Eugenia Catalfamo,CATALFAMO EUGENIA MARIA,leg:e2fdd9565ac4,senado,PROVINCIA DE SAN LUIS SAN LUIS,FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-12-09,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
María Eugenia Catalfamo,CATALFAMO EUGENIA MARIA,leg:e2fdd9565ac4,senado,PROVINCIA DE SAN LUIS SAN LUIS,UNIDAD FEDERAL,UNIDAD FEDERAL,2021-12-10,2023-12-09,PERONISMO FEDERAL,wikipedia:2021-2023,
"GIMÉNEZ NAVARRO, MARÍA CELESTE",CELESTE GIMENEZ MARIA NAVARRO,leg:15f4525b4ac5,senado,SAN JUAN,JUSTICIALISTA,JUSTICIALISTA,2023-12-10,2029-12-09,FdT-UxP (kirchnerismo),oficial:nomina_senado,
"CERVI, MARIO PABLO",CERVI MARIO PABLO,leg:37435e282f12,senado,NEUQUÉN,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-12-10,2031-12-09,LA LIBERTAD AVANZA,oficial:nomina_senado,
Julio César Cleto Cobos,CESAR CLETO COBOS JULIO,leg:6de6eac2355b,senado,MENDOZA,UNIÓN CÍVICA RADICAL,UCR,2017-12-10,2021-12-09,RADICALISMO,wikipedia:2017-2019,
Julio César Martínez,CESAR JULIO MARTINEZ,leg:ab382e4459b1,senado,LA RIOJA,UNIÓN CÍVICA RADICAL,UCR,2017-12-10,2023-12-09,RADICALISMO,wikipedia:2017-2019,
María Clara del Valle Vega,CLARA MARIA VALLE VEGA,leg:e0a87f5f810e,senado,PROVINCIA DE LA RIOJA (ARGENTINA) LA RIOJA,MEDIAR ARGENTINA,MEDIAR ARGENTINA,2019-12-10,2021-12-09,OTRO / PROVINCIAL,wikipedia:2019-2021,
María Clara Vega,CLARA MARIA VEGA,leg:e571f3dcadd9,senado,PROVINCIA DE LA RIOJA (ARGENTINA) LA RIOJA,MEDIAR ARGENTINA,MEDIAR ARGENTINA,2021-12-10,2023-12-09,OTRO / PROVINCIAL,wikipedia:2021-2023,
Claudio Martín Doñate,CLAUDIO DONATE MARTIN,leg:a637399412c4,senado,PROVINCIA DE RIO NEGRO RIO NEGRO,FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-12-09,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
Claudio Martín Doñate,CLAUDIO DONATE MARTIN,leg:a637399412c4,senado,PROVINCIA DE RIO NEGRO RIO NEGRO,UNIDAD CIUDADANA,UNIDAD CIUDADANA,2021-12-10,2025-12-09,FdT-UxP (kirchnerismo),wikipedia:2021-2023,
Claudio Javier Poggi,CLAUDIO JAVIER POGGI,leg:b9a8b53e22b2,senado,SAN LUIS,AVANZAR SAN LUIS,AVANZAR SAN LUIS,2017-12-10,2021-12-08,OTRO / PROVINCIAL,wikipedia:2017-2019,
Maurice Fabián Closs,CLOSS FABIAN MAURICE,leg:b86361f9eb56,senado,MISIONES,MISIONES,MISIONES,2017-12-10,2019-12-09,OTRO / PROVINCIAL,wikipedia:2017-2019,
Maurice Fabián Closs,CLOSS FABIAN MAURICE,leg:b86361f9eb56,senado,PROVINCIA DE MISIONES MISIONES,FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-12-09,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
Maurice Fabián Closs,CLOSS FABIAN MAURICE,leg:b86361f9eb56,senado,PROVINCIA DE MISIONES MISIONES,FRENTE NACIONAL Y POPULAR,FRENTE NACIONAL Y POPULAR,2021-12-10,2023-12-09,FdT-UxP (kirchnerismo),wikipedia:2021-2023,
Stefanía Cora,CORA STEFANIA,leg:8bed8fa8f0bc,senado,PROVINCIA DE ENTRE RIOS ENTRE RIOS,UNIDAD CIUDADANA,UNIDAD CIUDADANA,2025-02-20,2025-12-09,FdT-UxP,wikipedia:2023-2025,linaje: override manual
"GUZMÁN CORAITA, GONZALO",CORAITA GONZALO GUZMAN,leg:236f29695a54,senado,SALTA,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-12-10,2031-12-09,LA LIBERTAD AVANZA,oficial:nomina_senado,
"CORROZA, JULIETA",CORROZA JULIETA,leg:01bf087bd2b8,senado,NEUQUÉN,LA NEUQUINIDAD,LA NEUQUINIDAD,2025-12-10,2031-12-09,OTRO / PROVINCIAL,oficial:nomina_senado,
Eduardo Raúl Costa,COSTA EDUARDO RAUL,leg:0fc88d3b5174,senado,SANTA CRUZ,UNIÓN CÍVICA RADICAL,UCR,2017-12-10,2023-12-09,RADICALISMO,wikipedia:2017-2019,
Cristina Elisabet Fernández de Kirchner,CRISTINA ELISABET FERNANDEZ KIRCHNER,leg:f9205d3fa9b6,senado,BUENOS AIRES,FRENTE PARA LA VICTORIA-PJ,FRENTE PARA LA VICTORIA,2017-12-10,2019-12-09,FdT-UxP (kirchnerismo),wikipedia:2017-2019,
María Cristina del Valle Fiore Viñuales,CRISTINA FIORE MARIA VALLE VINUALES,leg:dcce9285e00b,senado,SALTA,PARES,PARES,2017-12-10,2019-12-09,OTRO / PROVINCIAL,wikipedia:2017-2019,
"GODOY, JUAN CRUZ",CRUZ GODOY JUAN,leg:d9420a046e86,senado,CHACO,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-12-10,2031-12-09,LA LIBERTAD AVANZA,oficial:nomina_senado,
Dalmacio Mera Figueroa,DALMACIO FIGUEROA MERA,leg:a88d98360d05,senado,CATAMARCA,JUSTICIALISTA,JUSTICIALISTA,2017-12-10,2019-12-09,PERONISMO FEDERAL,wikipedia:2017-2019,
Dalmacio Mera Figueroa,DALMACIO FIGUEROA MERA,leg:a88d98360d05,senado,PROVINCIA DE CATAMARCA CATAMARCA,FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-12-09,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
"KRONEBERGER, DANIEL RICARDO",DANIEL KRONEBERGER RICARDO,leg:a53919a39d11,senado,LA PAMPA,UCR - UNIÓN CÍVICA RADICAL,UCR,2021-12-10,2027-12-09,RADICALISMO,oficial:nomina_senado,
Edgardo Darío Kueider,DARIO EDGARDO KUEIDER,leg:9b51b386d5f7,senado,PROVINCIA DE ENTRE RIOS ENTRE RIOS,FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-12-09,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
Edgardo Darío Kueider,DARIO EDGARDO KUEIDER,leg:9b51b386d5f7,senado,PROVINCIA DE ENTRE RIOS ENTRE RIOS,UNIDAD FEDERAL,UNIDAD FEDERAL,2021-12-10,2023-12-09,PERONISMO FEDERAL,wikipedia:2021-2023,
Matías David Rodríguez,DAVID MATIAS RODRIGUEZ,leg:1b3236f9cb75,senado,"PROVINCIA DE TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR TIERRA DEL FUEGO",FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-12-09,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
"ROJAS DECUT, SONIA ELIZABETH",DECUT ELIZABETH ROJAS SONIA,leg:05e9c478c149,senado,MISIONES,ENCUENTRO MISIONERO,ENCUENTRO MISIONERO,2023-12-10,2029-12-09,OTRO / PROVINCIAL,oficial:nomina_senado,
Dionisio Fernando Scarpín,DIONISIO FERNANDO SCARPIN,leg:26ec15cf6bc4,senado,PROVINCIA DE SANTA FE SANTA FE,UNIÓN CÍVICA RADICAL,UCR,2021-12-10,2023-12-09,RADICALISMO,wikipedia:2021-2023,
Norma Haydée Durango,DURANGO HAYDEE NORMA,leg:bef6b06c2511,senado,LA PAMPA,PARTIDO JUSTICIALISTA LA PAMPA,PARTIDO JUSTICIALISTA LA PAMPA,2017-12-10,2019-12-09,OTRO / PROVINCIAL,wikipedia:2017-2019,
Norma Haydée Durango,DURANGO HAYDEE NORMA,leg:bef6b06c2511,senado,PROVINCIA DE LA PAMPA LA PAMPA,FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-12-09,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
María Eugenia Duré,DURE EUGENIA MARIA,leg:80de47b87b87,senado,"PROVINCIA DE TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR TIERRA DEL FUEGO",FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-12-09,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
