legislador,clave,legislador_id,camara,distrito,bloque,bloque_norm,desde,hasta,bloque_linaje,fuente,nota
"Abasto, Angel Leonidas",ABASTO ANGEL LEONIDAS,leg:153debd27ba5,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Abihaggle, Carlos Enrique",ABIHAGGLE CARLOS ENRIQUE,leg:34e855b743ca,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Aceñolaza, Florencio G.",ACENOLAZA FLORENCIO,leg:ce54e9c5f918,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Achem, Antonio",ACHEM ANTONIO,leg:666be68c99eb,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Adaime, Felipe Teófilo",ADAIME FELIPE TEOFILO,leg:6ae7d40bc666,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Albamonte, Alberto Gustavo",ALBAMONTE ALBERTO GUSTAVO,leg:e7c79e9b3395,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Alberti, Juan Carlos",ALBERTI CARLOS JUAN,leg:0a5184f3ee55,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Alcala, Nestor Ricardo",ALCALA NESTOR RICARDO,leg:15d6ec598836,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Alende, Oscar Eduardo",ALENDE EDUARDO OSCAR,leg:db80c31e394b,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Algaba, Ernesto Pedro",ALGABA ERNESTO PEDRO,leg:fb4cca6f3eeb,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Alsogaray, Albaro Carlos",ALBARO ALSOGARAY CARLOS,leg:33b02d501866,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Alvarez Echague, Raul A.",ALVAREZ ECHAGUE RAUL,leg:88e201cf91bc,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Alvarez Garcia, Normando",ALVAREZ GARCIA NORMANDO,leg:66e30588ca1d,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Alvarez, Carlos Alberto",ALBERTO ALVAREZ CARLOS,leg:a14a28a90777,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Alvarez, Carlos Raúl",ALVAREZ CARLOS RAUL,leg:ddb761b8a946,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Amadeo, Eduardo Pablo",AMADEO EDUARDO PABLO,leg:00f21075dd64,diputados,Buenos Aires,Pro,PRO,1994-06-10,1994-07-29,PRO,derivado:canonica,mandato inferido de 2 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Antelo, José María",ANTELO JOSE MARIA,leg:9caca0b9fbfc,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Aragones de Juarez, Mercedes",ARAGONES JUAREZ MERCEDES,leg:b2b0502b391a,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Aranda, Saturnino Dantti",ARANDA DANTTI SATURNINO,leg:6bb79607babd,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Argüello, Jorge",ARGUELLO JORGE,leg:4b27aa8b2f6c,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Arias, Cesar",ARIAS CESAR,leg:89113e156875,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Armendariz, Alejandro",ALEJANDRO ARMENDARIZ,leg:d8361d886de1,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Arrechea, José Salvador",ARRECHEA JOSE SALVADOR,leg:bbe148efe53e,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Ayala, Susana Beatriz",AYALA BEATRIZ SUSANA,leg:1ee8464ccda4,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Ayetz, Liliana",AYETZ LILIANA,leg:236c3d4f69db,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Balestra, René Helvecio",BALESTRA HELVECIO RENE,leg:844e937b2775,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Balestrini, Alberto",ALBERTO BALESTRINI,leg:d1b9631805a4,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Balestrini, Miguel Alberto",ALBERTO BALESTRINI MIGUEL,leg:c9d302c5245c,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Balter, Carlos Mario",BALTER CARLOS MARIO,leg:b3f87d4867a8,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Barbera, Eliseo",BARBERA ELISEO,leg:2c4e577bdf0d,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Barbotti, Atilio",ATILIO BARBOTTI,leg:050533d60fa5,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Barrionuevo, Eduardo Ernesto",BARRIONUEVO EDUARDO ERNESTO,leg:e3affc1c11cb,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Baum, Daniel",BAUM DANIEL,leg:98fea335b8fb,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Becerra, Carlos Armando",ARMANDO BECERRA CARLOS,leg:585e565733d2,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Becerra, Nicolas Eduardo",BECERRA EDUARDO NICOLAS,leg:57da8cd98e95,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Benedetti, Jorge Enrique",BENEDETTI ENRIQUE JORGE,leg:6eb21b0f6ce5,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Benzi, María Cristina",BENZI CRISTINA MARIA,leg:9d0d4debe80a,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Berhongaray, Antonio Tomás",ANTONIO BERHONGARAY TOMAS,leg:feefab6eb012,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Bermudez, María del Pilar",BERMUDEZ MARIA PILAR,leg:586cb572fbca,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Bianchi Silvestre, Marcela Alejandra",ALEJANDRA BIANCHI MARCELA SILVESTRE,leg:f897af3d1b97,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Bischof, Enrique",BISCHOF ENRIQUE,leg:f3370def721e,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Bonino, Miguel Angel",ANGEL BONINO MIGUEL,leg:5fa30da3907c,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Bonomi, Silvia Mónica",BONOMI MONICA SILVIA,leg:917d296dae2d,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Borda, Osvaldo",BORDA OSVALDO,leg:7e3f884fcbce,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Bracchi, Osvaldo Américo",AMERICO BRACCHI OSVALDO,leg:f1ddbea8d31f,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Branda, Carlos Ernesto",BRANDA CARLOS ERNESTO,leg:1b6f73aca63f,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Bravo, Alfredo Pedro",ALFREDO BRAVO PEDRO,leg:2b45d7ad284e,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Breser, Adalberto Edgardo",ADALBERTO BRESER EDGARDO,leg:e8bb7713a65f,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Brunelli, Naldo Raul Adalberto",ADALBERTO BRUNELLI NALDO RAUL,leg:3df74909b0d1,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Bruzzo, Omar Obdulio",BRUZZO OBDULIO OMAR,leg:ad3723819a6c,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Bullrich, Patricia",BULLRICH PATRICIA,leg:9fe263c7921e,diputados,Ciudad de Buenos Aires,Union Pro,PRO,1994-06-10,1994-12-22,PRO,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Bussi, Antonio Domingo",ANTONIO BUSSI DOMINGO,leg:05a698c752e9,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Cabiron, Juan Carlos",CABIRON CARLOS JUAN,leg:a6b893ac9eea,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Caimmi, Fernando Enrique",CAIMMI ENRIQUE FERNANDO,leg:119ad028e5f7,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-06-10,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 1 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Callaba, Anibal",ANIBAL CALLABA,leg:9d11919ae3b8,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Camara, Mario Miguel",CAMARA MARIO MIGUEL,leg:4f1476368922,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Camaño, Eduardo Oscar",CAMANO EDUARDO OSCAR,leg:e69386e17c0c,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Campero, Rodolfo Martín",CAMPERO MARTIN RODOLFO,leg:25acc26f489c,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Carca, Elisa Beatriz",BEATRIZ CARCA ELISA,leg:05f49d6372c6,diputados,Buenos Aires,Coalicion Civica,COALICION CIVICA,1994-06-10,1994-12-22,COALICION CIVICA,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Casari de Alarcia, Leonor",ALARCIA CASARI LEONOR,leg:f93ba5607e7c,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Castillo, José Luis",CASTILLO JOSE LUIS,leg:6d7d8a60e35c,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Castillo, Oscar Anibal",ANIBAL CASTILLO OSCAR,leg:fcbbd25578dd,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Castro, Carlos José",CARLOS CASTRO JOSE,leg:abc39f837d80,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Ceballos, Walter Alberto",ALBERTO CEBALLOS WALTER,leg:8d1706893fae,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Cerdera, Rogelio Rafael",CERDERA RAFAEL ROGELIO,leg:260e96fd6707,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Closs, Ramón Alberto",ALBERTO CLOSS RAMON,leg:58f163053986,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Corchuelo Blasco, José Manuel",BLASCO CORCHUELO JOSE MANUEL,leg:e01210d4b52f,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Crostelli, Juan Carlos",CARLOS CROSTELLI JUAN,leg:2c3ca81a415d,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"D'alessandro, Miguel H.",ALESSANDRO MIGUEL,leg:cee8bf2c203b,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"D'ambrosio, Angel Mario",AMBROSIO ANGEL MARIO,leg:9c3928bfd78c,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"D'elia, Roberto Antonio",ANTONIO ELIA ROBERTO,leg:72d8e332dfd3,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Daud, Jorge Carlos",CARLOS DAUD JORGE,leg:e8479cf65fc1,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Del Fabro, Lilian del Carmen",CARMEN FABRO LILIAN,leg:db19aa636f0b,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Dellepiane, Carlos Francisco",CARLOS DELLEPIANE FRANCISCO,leg:2afcb53ee567,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Di Tulio, Hector Horacio",HECTOR HORACIO TULIO,leg:2c3c854c5f9c,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Diaz Martinez, Jorge Raúl",DIAZ JORGE MARTINEZ RAUL,leg:b6d4a3ffd3e3,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Digon, Roberto",DIGON ROBERTO,leg:ec7a8d7825cd,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Drisaldi, María Rita",DRISALDI MARIA RITA,leg:ef2f29a74df2,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Dumon, José Gabriel",DUMON GABRIEL JOSE,leg:a4543a11cad6,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Durañona y Vedia, Francisco",DURANONA FRANCISCO VEDIA,leg:50ffd9d7cdc9,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Durrieu, Marcela Margarita",DURRIEU MARCELA MARGARITA,leg:2da4d1010438,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Escobar, Jorge Alberto",ALBERTO ESCOBAR JORGE,leg:72aaa74ae530,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Estevez Boero, Guillermo E.",BOERO ESTEVEZ GUILLERMO,leg:5262032c126a,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Fabrissin, Carlos Alberto",ALBERTO CARLOS FABRISSIN,leg:738c6f64ac89,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Falleti, Julio Cesar José",CESAR FALLETI JOSE JULIO,leg:5c0ad338034d,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
