Apellido,Nombre,Distrito,IniciaMandato,FinalizaMandato,Bloque
Herrera,Griselda Noemi,La Rioja,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Osuna,Blanca Ines,Entre Rios,2019-12-10,2023-12-09,Frente de Todos
Osuna,Blanca Ines,Entre Rios,2023-12-10,2027-12-09,Unión por la Patria
Rodriguez,Marcela Virginia,Buenos Aires,2011-08-05,2013-12-09,Democracia Igualitaria y Participativa (D.i.p.)
Schiaretti,Juan,Cordoba,2013-12-10,2015-12-09,Union por Cordoba
Schiaretti,Juan,Cordoba,2026-02-12,2029-12-09,Provincias Unidas
Solanas,Julio Rodolfo,Entre Rios,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Solanas,Julio Rodolfo,Entre Rios,2015-12-10,2019-12-09,Frente para la Victoria - Pj
Zottos,Andres,Salta,2017-12-10,2021-12-09,Justicialista
Ibarra,Vilma Lidia,Ciudad de Buenos Aires,2009-12-10,2011-12-09,Nuevo Encuentro Popular y Solidario
De Mendiguren,Jose Ignacio,Buenos Aires,2015-12-10,2017-12-09,Federal Unidos por una Nueva Argentina
De Mendiguren,Jose Ignacio,Buenos Aires,2019-12-10,2021-12-09,Frente de Todos
Alvarez,Juan Jose,Buenos Aires,2011-03-01,2011-12-09,Nucleo Unidad Peronista
Montoya,Jorge Luciano,Cordoba,2011-03-01,2011-12-09,Nucleo Unidad Peronista
De Vido,Julio,Buenos Aires,2015-12-10,2019-12-09,Frente para la Victoria - Pj
Filmus,Daniel,Ciudad de Buenos Aires,2019-12-10,2020-01-23,Frente de Todos
Kirchner,Nestor Carlos,Buenos Aires,2009-12-10,2010-10-27,Frente para la Victoria - Pj
Borsani,Luis Gustavo,Mendoza,2015-12-10,2019-12-09,Ucr
Caserio,Carlos Alberto,Cordoba,2015-12-10,2017-12-09,Union por Cordoba
Comelli,Alicia Marcela,Neuquen,2007-12-10,2011-12-09,Mov Pop Neuquino
Comelli,Alicia Marcela,Neuquen,2011-12-10,2015-12-09,Mov Pop Neuquino
De la Rosa,Maria Graciela,Formosa,2007-12-10,2011-12-09,Frente para la Victoria - Pj
De la Rosa,Maria Graciela,Formosa,2025-12-10,2029-12-09,Unión por la Patria
Alonso,Gumersindo Federico,Cordoba,2009-12-10,2013-12-09,Frente Civico - Cordoba
Diaz,Susana Eladia,Tucuman,2007-12-10,2011-10-26,Frente para la Victoria - Pj
Fadel,Patricia Susana,Mendoza,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Fiol,Paulina Esther,Santa Fe,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Garcia,Susana Rosa,Santa Fe,2009-12-10,2011-12-09,Coalicion Civica
Gioja,Juan Carlos,San Juan,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Giudici,Silvana Myriam,Ciudad de Buenos Aires,2007-12-10,2011-12-09,Ucr
Godoy,Ruperto Eduardo,San Juan,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Irrazabal,Juan Manuel,Misiones,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Marconato,Gustavo Angel,Santa Fe,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Martinez,Julio Cesar,La Rioja,2009-12-10,2013-12-09,Ucr
Martinez,Julio Cesar,La Rioja,2013-12-10,2015-12-10,Ucr
Mongelo,Jose Ricardo,Chaco,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Perez,Adrian,Buenos Aires,2009-12-10,2011-12-09,Coalicion Civica
Perez,Adrian,Buenos Aires,2013-12-10,2015-12-09,Frente Renovador
Perie,Hugo Ruben,Corrientes,2007-12-10,2011-08-15,Frente para la Victoria - Pj
Pinedo,Federico,Ciudad de Buenos Aires,2007-12-10,2011-12-09,Pro
Pinedo,Federico,Ciudad de Buenos Aires,2015-12-03,2015-12-09,Pro y Union por entre Rios
Ritondo,Cristian A.,Buenos Aires,2019-12-10,2023-12-09,Pro
Ritondo,Cristian A.,Buenos Aires,2023-12-10,2027-12-09,Pro
Sartori,Diego Horacio,Misiones,2019-12-10,2023-12-09,Frente de la Concordia Misionero
Sluga,Juan Carlos,Buenos Aires,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Vargas Aignasse,Geronimo,Tucuman,2007-12-10,2011-10-26,Frente para la Victoria - Pj
Bonasso,Miguel Luis,Ciudad de Buenos Aires,2007-12-10,2011-12-09,Dialogo por Buenos Aires
Lozano,Claudio Raul,Ciudad de Buenos Aires,2011-09-07,2011-12-09,Unidad Popular
Lozano,Claudio Raul,Ciudad de Buenos Aires,2011-12-10,2015-12-09,Unidad Popular
Leguizamon,Maria Laura,Buenos Aires,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Poggi,Claudio Javier,San Luis,2016-02-22,2017-12-09,Avanzar San Luis
Poggi,Claudio Javier,San Luis,2021-12-10,2023-11-01,Avanzar San Luis
Rios,Roberto Fabian,Corrientes,2011-12-10,2013-12-10,Frente para la Victoria - Pj
Landau,Jorge Alberto,Buenos Aires,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Landau,Jorge Alberto,Buenos Aires,2011-12-10,2015-11-30,Frente para la Victoria - Pj
Taiana,Jorge,Buenos Aires,2025-12-10,2029-12-09,Unión por la Patria
Aguad,Oscar Raul,Cordoba,2009-12-10,2013-12-09,Ucr
Aguad,Oscar Raul,Cordoba,2013-12-10,2015-12-09,Ucr
Alvarez Rodriguez,Maria Cristina,Buenos Aires,2015-12-10,2019-12-09,Frente para la Victoria - Pj
Alvarez Rodriguez,Maria Cristina,Buenos Aires,2019-12-10,2021-09-21,Frente de Todos
Bertol,Paula Maria,Ciudad de Buenos Aires,2009-12-10,2013-12-09,Pro
Binner,Hermes Juan,Santa Fe,2013-12-10,2017-12-09,Partido Socialista
Brillo,Jose Ricardo,Neuquen,2009-12-10,2013-12-09,Mov Pop Neuquino
Brue,Daniel Agustin,Santiago del Estero,2009-12-10,2013-12-09,Frente Civico por Santiago
Brue,Daniel Agustin,Santiago del Estero,2019-12-10,2023-12-09,Frente de Todos
Bullrich,Esteban Jose,Ciudad de Buenos Aires,2009-12-10,2010-08-31,Pro
Canela,Susana Mercedes,Salta,2013-12-10,2015-12-09,Frente para la Victoria - Pj
Carlotto,Remo Gerardo,Buenos Aires,2009-12-10,2013-12-09,Frente para la Victoria - Pj
Carlotto,Remo Gerardo,Buenos Aires,2016-06-23,2017-12-09,Peronismo para la Victoria
Collantes,Genaro Aurelio,Catamarca,2009-12-10,2009-12-25,Ucr
Cornejo,Alfredo Victor,Mendoza,2021-12-10,2023-12-09,Ucr
De Marchi,Omar,Mendoza,2009-12-10,2013-12-09,Democrata de Mendoza
De Marchi,Omar,Mendoza,2019-12-10,2023-12-09,Pro
De Narvaez,Francisco,Buenos Aires,2011-12-07,2013-12-09,Frente Peronista
De Narvaez,Francisco,Buenos Aires,2013-12-10,2015-12-03,Union Celeste y Blanco
Depetri,Edgardo Fernando,Buenos Aires,2010-11-03,2013-12-09,Frente para la Victoria - Pj
Depetri,Edgardo Fernando,Buenos Aires,2013-12-10,2017-12-09,Frente para la Victoria - Pj
Di Tullio,Juliana,Buenos Aires,2009-12-10,2013-12-09,Frente para la Victoria - Pj
Di Tullio,Juliana,Buenos Aires,2013-12-10,2017-12-09,Frente para la Victoria - Pj
Diaz Roig,Juan Carlos,Formosa,2009-12-10,2013-12-09,Frente para la Victoria - Pj
Diaz Roig,Juan Carlos,Formosa,2013-12-10,2017-12-09,Frente para la Victoria - Pj
Ferra de Bartol,Margarita,San Juan,2009-12-10,2013-10-11,Frente para la Victoria - Pj
Garcia,Maria Teresa,Buenos Aires,2009-12-10,2013-12-09,Frente para la Victoria - Pj
Garcia,Maria Teresa,Buenos Aires,2013-12-10,2017-12-09,Frente para la Victoria - Pj
Garcia,Maria Teresa,Buenos Aires,2025-12-10,2029-12-09,Unión por la Patria
Giacomino,Daniel Oscar,Cordoba,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Kroneberger,Daniel Ricardo,La Pampa,2011-12-10,2015-12-09,Ucr
Kroneberger,Daniel Ricardo,La Pampa,2015-12-10,2019-12-09,Ucr
Kunkel,Carlos Miguel,Buenos Aires,2009-12-10,2013-12-09,Frente para la Victoria - Pj
Kunkel,Carlos Miguel,Buenos Aires,2013-12-10,2017-12-09,Frente para la Victoria - Pj
Moises,Maria Carolina,Jujuy,2017-12-18,2019-12-09,Justicialista
Moises,Maria Carolina,Jujuy,2019-12-10,2023-12-09,Frente de Todos
Moreno,Carlos Julio,Buenos Aires,2009-12-10,2013-12-09,Frente para la Victoria - Pj
Moreno,Carlos Julio,Buenos Aires,2013-12-10,2017-12-09,Frente para la Victoria - Pj
Oliva,Cristian Rodolfo,Santiago del Estero,2009-12-10,2013-12-09,Frente Civico por Santiago
Oliva,Cristian Rodolfo,Santiago del Estero,2013-12-10,2017-12-09,Frente Civico por Santiago
Recalde,Hector Pedro,Buenos Aires,2009-12-10,2013-12-09,Frente para la Victoria - Pj
Recalde,Hector Pedro,Buenos Aires,2013-12-10,2017-12-09,Frente para la Victoria - Pj
Rossi,Agustin Oscar,Santa Fe,2009-12-10,2013-05-31,Frente para la Victoria - Pj
Rossi,Agustin Oscar,Santa Fe,2019-12-10,2019-12-10,Frente de Todos
Rossi,Agustin Oscar,Santa Fe,2025-12-10,2029-12-09,Unión por la Patria
Salim,Juan Arturo,Tucuman,2009-12-10,2013-12-09,Frente para la Victoria - Pj
Sarghini,Jorge Emilio,Buenos Aires,2019-12-19,2021-12-09,Consenso Federal
Soto,Gladys Beatriz,Chaco,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Thomas,Enrique Luis,Mendoza,2011-12-07,2013-12-09,Frente Peronista
Tonelli,Pablo Gabriel,Ciudad de Buenos Aires,2013-12-10,2015-12-09,Union Pro
Tonelli,Pablo Gabriel,Ciudad de Buenos Aires,2017-12-10,2019-12-09,Pro
Tonelli,Pablo Gabriel,Ciudad de Buenos Aires,2019-12-10,2023-12-09,Pro
West,Mariano Federico,Buenos Aires,2009-12-10,2011-12-11,Frente para la Victoria - Pj
Closs,Maurice Fabian,Misiones,2017-12-10,2019-12-09,Misiones
Uñac,Jose Ruben,San Juan,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Gonzalez,Nancy Susana,Chubut,2009-12-10,2013-12-09,Frente para la Victoria - Pj
Sanchez,Fernando,Ciudad de Buenos Aires,2016-02-04,2017-12-09,Coalicion Civica
Obiglio,Julian Martin,Ciudad de Buenos Aires,2010-10-13,2013-12-09,Pro
Bianchi,Ivana Maria,San Luis,2011-12-07,2011-12-09,Frente Peronista
Bianchi,Ivana Maria,San Luis,2013-09-17,2015-12-09,Compromiso Federal
Bianchi,Ivana Maria,San Luis,2018-02-06,2019-12-09,Unidad Justicialista
Calcagno y Maillmann,Eric,Buenos Aires,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Acosta,Maria Julia,Catamarca,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Agosto,Walter Alfredo,Santa Fe,2009-12-10,2011-12-09,Peronismo Federal
Aguirre,Hilda,La Rioja,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Aguirre,Hilda,La Rioja,2019-12-10,2023-12-09,Frente de Todos
Aguirre,Hilda,La Rioja,2023-12-10,2027-12-09,Unión por la Patria
Alfaro,German Enrique,Tucuman,2007-12-10,2011-10-21,Frente para la Victoria - Pj
Alvaro,Hector Jorge,Mendoza,2007-12-10,2011-12-09,De la Concertacion
Arbo,Jose Ameghino,Corrientes,2007-12-10,2011-12-09,Partido Liberal de Corrientes
Areta,Maria Josefa,Corrientes,2007-12-10,2011-12-09,Frente de Todos
Barrios,Miguel Angel,Santa Fe,2007-12-10,2011-12-09,Partido Socialista
Bedano,Nora Esther,Cordoba,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Bedano,Nora Esther,Cordoba,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Belous,Nelida,Tierra del Fuego,2010-09-09,2011-12-09,Social Patagonico
Benas,Veronica Claudia,Santa Fe,2011-09-07,2011-12-09,Unidad Popular
Calchaqui,Mariel,Tierra del Fuego,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Caselles,Graciela Maria,San Juan,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Caselles,Graciela Maria,San Juan,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Caselles,Graciela Maria,San Juan,2017-12-08,2019-12-09,Partido Bloquista de San Juan
Caselles,Graciela Maria,San Juan,2019-12-10,2023-12-09,Frente de Todos
Cejas,Jorge Alberto,Rio Negro,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Cejas,Jorge Alberto,Rio Negro,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Cortina,Roy,Ciudad de Buenos Aires,2007-12-10,2011-12-09,Partido Socialista
Cortina,Roy,Ciudad de Buenos Aires,2011-12-10,2015-12-09,Partido Socialista
Cremer de Busti,Maria Cristina,Entre Rios,2009-12-10,2011-12-06,Peronismo Federal
Cremer de Busti,Maria Cristina,Entre Rios,2011-12-07,2013-12-09,Frente Peronista
Cremer de Busti,Maria Cristina,Entre Rios,2013-12-10,2017-12-09,Union por entre Rios
Chiquichano,Rosa Laudelina,Chubut,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Damilano Grivarello,Viviana Monica,Chaco,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Dato,Alfredo Carlos,Tucuman,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Dato,Alfredo Carlos,Tucuman,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Del Campillo,Hector Eduardo,Cordoba,2007-12-10,2011-12-09,Ucr
Fein,Monica Hayde,Santa Fe,2007-12-10,2011-12-09,Partido Socialista
Fernandez Basualdo,Luis Maria,Formosa,2007-12-10,2010-10-19,Frente para la Victoria - Pj
Garcia Hamilton,Jose Ignacio,Tucuman,2007-12-10,2009-06-17,Ucr
Garcia,Irma Adriana,La Pampa,2011-10-26,2011-12-09,Union Peronista
Gil Lozano,Claudia Fernanda,Ciudad de Buenos Aires,2009-12-10,2011-12-09,Coalicion Civica
Gonzalez,Juan Dante,Mendoza,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Gonzalez,Juan Dante,Mendoza,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Herrera,Jose Alberto,Santiago del Estero,2007-12-10,2011-12-09,Frente Civico por Santiago
Herrera,Jose Alberto,Santiago del Estero,2011-12-10,2015-12-09,Frente Civico por Santiago
Herrera,Jose Alberto,Santiago del Estero,2015-12-10,2017-11-08,Frente Civico por Santiago
Hotton,Cynthia Liliana,Ciudad de Buenos Aires,2009-07-31,2011-12-09,Valores para Mi Pais
Kenny,Eduardo Enrique Federico,La Pampa,2007-12-10,2011-12-09,Ucr
Korenfeld,Beatriz Liliana,Santa Cruz,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Leverberg,Stella Maris,Misiones,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Leverberg,Stella Maris,Misiones,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Lopez,Rafael Angel,Formosa,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Luna de Marcos,Ana Zulema,Santiago del Estero,2007-12-10,2011-12-09,Frente Civico por Santiago
Merchan,Paula Cecilia,Cordoba,2009-12-10,2011-12-09,Libres del Sur
Merlo,Mario Raul,San Luis,2009-12-10,2011-12-09,Peronismo Federal
Montero,Laura Gisela,Mendoza,2008-08-14,2009-11-24,Consenso Federal
Morante,Antonio Arnaldo Maria,Chaco,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Morejon,Manuel Amor,Chubut,2009-12-10,2011-12-09,Peronista
Pais,Juan Mario,Chubut,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Pais,Juan Mario,Chubut,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Paroli,Raul Omar,Catamarca,2007-12-10,2011-12-09,Frente Civico y Social de Catamarca
Pastoriza,Mirta Ameliana,Santiago del Estero,2007-12-10,2011-12-09,Frente Civico por Santiago
Pastoriza,Mirta Ameliana,Santiago del Estero,2011-12-10,2015-12-09,Frente Civico por Santiago
Pastoriza,Mirta Ameliana,Santiago del Estero,2015-12-10,2019-12-09,Frente Civico por Santiago
Peralta,Fabian Francisco,Santa Fe,2009-11-12,2011-12-09,Gen
Peralta,Fabian Francisco,Santa Fe,2011-12-10,2015-12-09,Gen
Pereyra,Guillermo Antonio,Mendoza,2007-12-10,2011-12-09,Frente para la Victoria - Pj
