Apellido,Nombre,Distrito,IniciaMandato,FinalizaMandato,Bloque
Gribaudo,Christian Alejandro,Buenos Aires,2013-12-10,2016-02-29,Union Pro
Katz,Daniel,Buenos Aires,2009-11-12,2011-12-09,Ucr
Lanceta,Ruben Orfel,Buenos Aires,2007-12-10,2011-12-09,Ucr
Linares,Maria Virginia,Buenos Aires,2009-11-12,2011-12-09,Gen
Linares,Maria Virginia,Buenos Aires,2011-12-10,2015-12-09,Gen
Moran,Juan Carlos,Buenos Aires,2009-12-10,2011-12-09,Coalicion Civica
Pasini,Ariel Osvaldo Eloy,Buenos Aires,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Pasini,Ariel Osvaldo Eloy,Buenos Aires,2015-04-08,2015-12-09,Frente para la Victoria - Pj
Rioboo,Sandra Adriana,Buenos Aires,2007-12-10,2011-12-09,Ucr
Ruiz,Ramon,Buenos Aires,2007-12-10,2010-09-20,Frente para la Victoria - Pj
Satragno,Lidia Elsa,Buenos Aires,2007-12-10,2011-12-09,Pro
Segarra,Adela Rosa,Buenos Aires,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Segarra,Adela Rosa,Buenos Aires,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Serebrinsky,Gustavo Eduardo,Buenos Aires,2009-11-12,2011-12-09,Ucr
Sola,Felipe Carlos,Buenos Aires,2011-10-04,2011-10-25,No Integra Bloque
Sola,Felipe Carlos,Buenos Aires,2013-09-11,2013-12-09,Frente Renovador
Sola,Felipe Carlos,Buenos Aires,2015-12-10,2017-12-09,Federal Unidos por una Nueva Argentina
Sola,Felipe Carlos,Buenos Aires,2019-12-10,2019-12-10,Frente de Todos
Erro,Norberto Pedro,Buenos Aires,2009-11-12,2011-12-09,Ucr
Gardella,Patricia Susana,Buenos Aires,2009-12-10,2011-12-09,Corriente de Pensamiento Federal
Ledesma,Julio Ruben,Buenos Aires,2013-09-11,2013-12-09,Frente Renovador
Bernazza,Claudia Alicia,Buenos Aires,2020-05-13,2021-12-09,Frente de Todos
Albarracin,Jorge Luis,Mendoza,2011-12-10,2013-12-09,Ucr
Massa,Sergio Tomas,Buenos Aires,2015-12-10,2017-12-09,Federal Unidos por una Nueva Argentina
Massa,Sergio Tomas,Buenos Aires,2019-12-10,2022-08-02,Frente de Todos
Lorges,Juan Carlos,Buenos Aires,2009-05-20,2011-12-09,Frente para la Victoria - Pj
Castaldo,Norah Susana,Tucuman,2009-08-05,2011-12-09,Ucr
Dominguez,Julian Andres,Buenos Aires,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Corpacci,Lucia Benigna,Catamarca,2021-12-10,2022-04-17,Frente de Todos
Juez,Luis Alfredo,Cordoba,2019-12-10,2021-12-07,Pro
Cano,Jose Manuel,Tucuman,2013-12-10,2015-12-10,Ucr
Cano,Jose Manuel,Tucuman,2017-12-10,2021-12-09,Ucr
Quintero,Marta Beatriz,La Rioja,2009-11-25,2011-12-09,Frente para la Victoria - Pj
Pinto,Sergio Damian,Mendoza,2009-11-25,2011-12-09,Ucr
Iturraspe,Nora Graciela,Buenos Aires,2011-09-07,2013-12-09,Unidad Popular
Wayar,Walter Raul,Salta,2009-12-10,2013-12-09,Frente Peronista Federal
Abdala de Matarazzo,Norma Amanda,Santiago del Estero,2009-12-10,2013-12-09,Frente Civico por Santiago
Abdala de Matarazzo,Norma Amanda,Santiago del Estero,2013-12-10,2017-12-09,Frente Civico por Santiago
Abdala de Matarazzo,Norma Amanda,Santiago del Estero,2019-12-10,2021-12-09,Frente de Todos
Albrieu,Oscar Edmundo Nicolas,Rio Negro,2009-12-10,2013-12-01,Frente para la Victoria - Pj
Alfonsin,Ricardo Luis,Buenos Aires,2009-12-10,2013-12-09,Ucr
Alfonsin,Ricardo Luis,Buenos Aires,2013-12-10,2017-12-09,Ucr
Alonso,Laura,Ciudad de Buenos Aires,2009-12-10,2013-12-09,Pro
Alonso,Laura,Ciudad de Buenos Aires,2013-12-10,2015-12-22,Union Pro
Alvarez,Elsa Maria,Santa Cruz,2009-12-10,2013-12-09,Ucr
Alvarez,Jorge Mario,Santa Fe,2009-12-10,2013-12-09,Ucr
Amadeo,Eduardo Pablo,Buenos Aires,2013-09-11,2013-12-09,Frente Renovador
Amadeo,Eduardo Pablo,Buenos Aires,2017-12-10,2019-12-09,Pro
Arena,Celia Isabel,Santa Fe,2011-12-10,2013-12-09,Frente para la Victoria - Pj
Argumedo,Alcira Susana,Ciudad de Buenos Aires,2009-12-10,2013-12-09,Movimiento Proyecto Sur
Argumedo,Alcira Susana,Ciudad de Buenos Aires,2013-12-10,2017-12-09,Proyecto Sur - Unen
Aspiazu,Lucio Bernardo,Corrientes,2009-12-10,2013-12-09,Ucr
Barbieri,Mario Leandro,Buenos Aires,2009-12-10,2013-12-09,Ucr
Barrandeguy,Raul Enrique,Entre Rios,2009-12-10,2013-12-09,Frente para la Victoria - Pj
Benedetti,Atilio,Entre Rios,2009-12-10,2013-12-09,Ucr
Benedetti,Atilio,Entre Rios,2017-12-10,2021-12-09,Ucr
Benedetti,Atilio,Entre Rios,2023-12-10,2025-12-09,Ucr - Unión Cívica Radical
Bernal,Maria Eugenia,Jujuy,2009-12-10,2013-12-09,Frente para la Victoria - Pj
Blanco de Peralta,Blanca,Santa Cruz,2009-12-10,2013-12-09,Frente para la Victoria - Pj
Buryaile,Ricardo,Formosa,2009-12-10,2013-12-09,Ucr
Buryaile,Ricardo,Formosa,2013-12-10,2016-02-29,Ucr
Buryaile,Ricardo,Formosa,2019-12-10,2023-12-09,Ucr
Cardelli,Jorge Justo,Ciudad de Buenos Aires,2009-12-10,2013-12-09,Movimiento Proyecto Sur
Carranza,Carlos Alberto,Santa Fe,2013-09-11,2013-12-09,Frente Renovador
Casañas,Juan Francisco,Tucuman,2009-12-10,2013-12-09,Ucr
Casañas,Juan Francisco,Tucuman,2016-04-05,2017-12-09,Del Bicentenario
Castañon,Hugo,Rio Negro,2009-12-10,2013-12-09,Ucr
Chemes,Jorge Omar,Entre Rios,2009-12-10,2013-12-09,Ucr
Chieno,Maria Elena Petrona,Corrientes,2009-12-10,2013-12-09,Frente para la Victoria - Pj
Ciciliani,Alicia Mabel,Santa Fe,2009-12-10,2013-12-09,Partido Socialista
Ciciliani,Alicia Mabel,Santa Fe,2013-12-10,2017-12-09,Partido Socialista
Comi,Carlos Marcelo,Santa Fe,2011-12-06,2013-12-09,Coalicion Civica - Ari
Costa,Eduardo Raul,Santa Cruz,2009-12-10,2013-12-09,Ucr
Costa,Eduardo Raul,Santa Cruz,2013-12-10,2017-12-09,Ucr
Currilen,Oscar Ruben,Chubut,2011-12-06,2013-12-09,Frente para la Victoria - Pj
De Prat Gay,Alfonso,Ciudad de Buenos Aires,2011-12-06,2013-12-09,Coalicion Civica - Ari
Espindola,Gladys Susana,Cordoba,2009-12-10,2013-12-09,Ucr
Fadul,Liliana,Tierra del Fuego,2009-12-10,2013-12-09,Partido Federal Fueguino
Faustinelli,Hipolito,Cordoba,2009-12-10,2013-12-09,Ucr
Favario,Carlos Alberto,Santa Fe,2009-12-10,2013-12-09,Democrata Progresista
Felix,Omar Chafi,Mendoza,2009-12-10,2013-12-09,Frente para la Victoria - Pj
Felix,Omar Chafi,Mendoza,2019-12-10,2021-12-09,Frente de Todos
Fernandez,Rodolfo Alfredo,Corrientes,2009-12-10,2013-12-09,Ucr
Ferrari,Gustavo Alfredo Horacio,Buenos Aires,2011-12-07,2013-12-09,Frente Peronista
Fiad,Mario Raymundo,Jujuy,2009-12-10,2013-12-09,Ucr
Fiad,Mario Raymundo,Jujuy,2013-12-10,2015-12-09,Ucr
Forconi,Juan Carlos,Santa Fe,2013-04-18,2013-12-09,Frente para la Victoria - Pj
Forte,Ulises Umberto Jose,La Pampa,2009-12-10,2013-12-09,Ucr
Fortuna,Francisco Jose,Cordoba,2009-12-10,2013-12-09,Cordoba Federal
Gallardo,Miriam Graciela,Tucuman,2009-12-10,2013-12-09,Frente para la Victoria - Pj
Gallardo,Miriam Graciela,Tucuman,2014-04-03,2017-12-09,Frente para la Victoria - Pj
Gambaro,Natalia,Buenos Aires,2011-12-07,2013-12-09,Frente Peronista
Garnero,Estela Ramona,Cordoba,2009-12-10,2013-12-09,Cordoba Federal
Germano,Daniel,Santa Fe,2011-12-07,2013-12-09,Frente Peronista
Gonzalez,Gladys Esther,Buenos Aires,2009-12-10,2013-12-09,Pro
Gonzalez,Gladys Esther,Buenos Aires,2013-12-10,2017-01-06,Union Pro
Guzman,Olga Elizabeth,Neuquen,2009-12-10,2013-12-09,Mov Pop Neuquino
Heller,Carlos,Ciudad de Buenos Aires,2013-06-28,2013-12-09,Frente Nuevo Encuentro
Heller,Carlos,Ciudad de Buenos Aires,2015-06-09,2017-12-09,Solidario Si
Heller,Carlos,Ciudad de Buenos Aires,2019-12-19,2021-12-09,Frente de Todos
Heller,Carlos,Ciudad de Buenos Aires,2023-12-10,2025-12-09,Unión por la Patria
Ibarra,Eduardo Mauricio,San Juan,2011-12-10,2013-12-09,Union por San Juan
Juri,Mariana,Mendoza,2009-12-10,2013-12-09,Ucr
Llanos,Ermindo Edgardo Marcelo,Jujuy,2009-12-14,2013-12-09,Frente para la Victoria - Pj
Majdalani,Silvia Cristina,Buenos Aires,2009-12-10,2013-12-09,Pro
Majdalani,Silvia Cristina,Ciudad de Buenos Aires,2013-12-10,2015-12-09,Union Pro
Mansur,Ricardo Alfredo,Mendoza,2009-12-10,2011-12-09,Ucr
Martinez,Ernesto Felix,Cordoba,2009-12-10,2013-12-09,Frente Civico - Cordoba
Martinez,Soledad,Buenos Aires,2009-12-10,2013-12-09,Pro
Martinez,Soledad,Buenos Aires,2013-12-10,2017-12-09,Union Pro
Mazzarella,Susana del Valle,Cordoba,2009-12-10,2013-12-09,Frente Civico - Cordoba
Mendoza,Sandra Marcela,Chaco,2009-12-10,2013-12-09,Frente para la Victoria - Pj
Mendoza,Sandra Marcela,Chaco,2013-12-10,2017-12-09,Frente para la Victoria - Pj
Mera,Dalmacio,Catamarca,2009-12-10,2011-12-09,Frente para la Victoria - Pj
Michetti,Marta Gabriela,Ciudad de Buenos Aires,2009-12-10,2013-12-09,Pro
Milman,Gerardo,Buenos Aires,2009-12-10,2013-12-09,Gen
Milman,Gerardo,Buenos Aires,2023-12-10,2025-12-09,Pro
Mouilleron,Roberto Mario,Buenos Aires,2013-09-11,2013-12-09,Frente Renovador
Nebreda,Carmen Rosa,Cordoba,2009-12-10,2013-12-09,Frente para la Victoria - Pj
Orsolini,Pablo Eduardo,Chaco,2009-12-10,2013-12-09,Ucr
Olmedo,Alfredo Horacio,Salta,2009-12-10,2013-12-09,Salta Somos Todos
Olmedo,Alfredo Horacio,Salta,2015-12-18,2019-12-09,Salta Somos Todos
Pansa,Sergio Horacio,San Luis,2013-09-17,2013-12-09,Compromiso Federal
Parada,Liliana Beatriz,Ciudad de Buenos Aires,2011-09-07,2013-12-09,Unidad Popular
Perez,Alberto Jose,San Luis,2013-09-17,2013-12-09,Compromiso Federal
Piemonte,Hector Horacio,Buenos Aires,2011-12-06,2013-12-09,Coalicion Civica - Ari
Pilatti Vergara,Maria Ines,Chaco,2009-12-10,2013-12-09,Frente para la Victoria - Pj
Plaini,Francisco Omar,Buenos Aires,2013-07-05,2013-12-09,"Cultura, Educacion y Trabajo"
Plaini,Francisco Omar,Buenos Aires,2013-12-10,2017-12-09,"Cultura, Educacion y Trabajo"
Quiroga,Horacio Rodolfo,Neuquen,2009-12-10,2011-11-29,Ucr
Re,Hilma Leonor,Entre Rios,2011-12-06,2013-12-09,Coalicion Civica - Ari
Regazzoli,Maria Cristina,La Pampa,2009-12-10,2013-12-09,Partido Justicialista la Pampa
Risko,Silvia Lucrecia,Misiones,2009-12-10,2013-12-09,Frente para la Victoria - Pj
Risko,Silvia Lucrecia,Misiones,2016-06-16,2017-12-09,Frente de la Concordia Misionero
Rivara,Raul Alberto,Buenos Aires,2013-09-11,2013-12-09,Frente Renovador
Robledo,Roberto Ricardo,La Pampa,2009-12-10,2013-12-09,Partido Justicialista la Pampa
Rucci,Claudia Monica,Buenos Aires,2011-12-07,2013-12-09,Frente Peronista
Rucci,Claudia Monica,Buenos Aires,2016-03-01,2017-12-09,Unidos por una Nueva Argentina
Sabbatella,Martin,Buenos Aires,2013-06-28,2013-12-09,Frente Nuevo Encuentro
Solanas,Fernando Ezequiel,Ciudad de Buenos Aires,2009-12-10,2013-12-09,Movimiento Proyecto Sur
Storani,Maria Luisa,Buenos Aires,2009-12-10,2013-12-09,Ucr
Terada,Alicia,Chaco,2011-12-06,2013-12-09,Coalicion Civica - Ari
Terada,Alicia,Chaco,2016-02-04,2017-12-09,Coalicion Civica
Terada,Alicia,Chaco,2017-12-10,2021-12-09,Coalicion Civica
Tomas,Hector Daniel,San Juan,2009-12-10,2013-12-09,Frente para la Victoria - Pj
Tomas,Hector Daniel,San Juan,2013-12-10,2016-11-11,Frente para la Victoria - Pj
Triaca,Alberto Jorge,Ciudad de Buenos Aires,2009-12-10,2013-12-09,Pro
Triaca,Alberto Jorge,Ciudad de Buenos Aires,2013-12-10,2015-12-09,Union Pro
Tunessi,Juan Pedro,Buenos Aires,2009-12-10,2013-12-09,Ucr
Veaute,Mariana Alejandra,Catamarca,2013-09-11,2013-12-09,Frente Renovador
Videla,Nora Esther,San Luis,2013-09-17,2013-12-09,Compromiso Federal
Yarade,Fernando,Salta,2009-12-10,2013-12-09,Frente para la Victoria - Pj
Ziegler,Alex Roberto,Misiones,2009-12-10,2013-12-09,Frente para la Victoria - Pj
Ziegler,Alex Roberto,Misiones,2016-03-09,2017-12-09,Libertad Valores y Cambio
Alizegui,Antonio Anibal,Entre Rios,2009-12-10,2011-12-09,Frente para la Victoria - Pj
Molas,Pedro Omar,Catamarca,2011-11-02,2013-12-09,Frente Civico y Social de Catamarca
Asef,Daniel Edgardo,Cordoba,2011-03-01,2011-12-09,Nucleo Unidad Peronista
Dutto,Gustavo Alberto,Buenos Aires,2010-11-03,2011-12-09,Frente para la Victoria - Pj
Donkin,Carlos Guillermo,Formosa,2010-11-10,2011-12-09,Frente para la Victoria - Pj
Donkin,Carlos Guillermo,Formosa,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Perroni,Ana Maria,Corrientes,2011-09-07,2011-12-09,Frente para la Victoria - Pj
Perroni,Ana Maria,Corrientes,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Aguilar,Lino Walter,San Luis,2013-09-17,2015-12-09,Compromiso Federal
Alonso,Maria Luz,La Pampa,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Aragon,Santiago Diego,Buenos Aires,2011-12-10,2012-03-02,Frente para la Victoria - Pj
Arregui,Andres Roberto,Buenos Aires,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Asseff,Alberto,Buenos Aires,2013-12-10,2015-12-09,Unir
Asseff,Alberto,Buenos Aires,2019-12-10,2023-12-09,Pro
Avoscan,Herman Horacio,Rio Negro,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Balcedo,Maria Ester,Buenos Aires,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Barchetta,Omar Segundo,Santa Fe,2011-12-10,2015-12-09,Partido Socialista
Basterra,Luis Eugenio,Formosa,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Basterra,Luis Eugenio,Formosa,2015-12-10,2019-12-09,Frente para la Victoria - Pj
Basterra,Luis Eugenio,Formosa,2019-12-10,2019-12-10,Frente de Todos
Basterra,Luis Eugenio,Formosa,2023-12-10,2027-12-09,Unión por la Patria
Bazze,Miguel Angel,Buenos Aires,2011-12-10,2015-12-09,Ucr
Bazze,Miguel Angel,Buenos Aires,2015-12-10,2019-12-09,Ucr
Bazze,Miguel Angel,Buenos Aires,2019-12-10,2023-12-09,Ucr
Bianchi,Maria del Carmen,Ciudad de Buenos Aires,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Biella Calvet,Bernardo Jose,Salta,2011-12-10,2015-12-09,Udeso Salta
Brawer,Mara,Ciudad de Buenos Aires,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Brawer,Mara,Ciudad de Buenos Aires,2019-12-19,2023-12-09,Frente de Todos
Brizuela y Doria de Cara,Olga Ines,La Rioja,2011-12-10,2014-04-02,Ucr
Bromberg,Isaac Benjamin,Tucuman,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Carmona,Guillermo Ramon,Mendoza,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Carmona,Guillermo Ramon,Mendoza,2015-12-10,2019-12-09,Frente para la Victoria - Pj
Catalan Magni,Julio Cesar,Tierra del Fuego,2011-12-10,2013-12-09,Frente para la Victoria - Pj
Ciampini,Jose Alberto,Neuquen,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Ciampini,Jose Alberto,Neuquen,2015-12-10,2019-12-09,Frente para la Victoria - Pj
Cleri,Marcos,Santa Fe,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Cleri,Marcos,Santa Fe,2015-12-10,2019-12-09,Frente para la Victoria - Pj
Cleri,Marcos,Santa Fe,2019-12-10,2023-12-09,Frente de Todos
De Ferrari Rueda,Patricia,Cordoba,2011-12-10,2015-12-09,Ucr
De Gennaro,Victor Norberto,Buenos Aires,2011-12-10,2015-12-09,Unidad Popular
De Pedro,Eduardo Enrique,Buenos Aires,2011-12-10,2015-02-26,Frente para la Victoria - Pj
De Pedro,Eduardo Enrique,Buenos Aires,2015-12-10,2019-12-09,Frente para la Victoria - Pj
De Pedro,Eduardo Enrique,Buenos Aires,2019-12-10,2019-12-10,Frente de Todos
Duclos,Omar Arnaldo,Buenos Aires,2011-12-10,2015-12-09,Gen
Eliceche,Carlos Tomas,Chubut,2011-12-10,2013-03-01,Frente para la Victoria - Pj
Elorriaga,Osvaldo Enrique,Entre Rios,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Feletti,Roberto Jose,Ciudad de Buenos Aires,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Fernandez Sagasti,Anabel,Mendoza,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Ferreyra,Araceli,Corrientes,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Ferreyra,Araceli,Corrientes,2018-10-26,2019-12-09,Movimiento Evita
Fiore Viñuales,Maria Cristina del Valle,Salta,2011-12-10,2013-12-09,Renovador de Salta
Francioni,Fabian Marcelo,Cordoba,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Garcia Larraburu,Silvina Marcela,Rio Negro,2011-12-10,2013-12-09,Frente para la Victoria - Pj
Garcia,Andrea Fabiana,Buenos Aires,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Garramuño,Jorge Alberto,Tierra del Fuego,2013-12-10,2015-09-07,Mov Pop Fueguino
Garrido,Manuel,Ciudad de Buenos Aires,2011-12-10,2015-12-09,Ucr
Gdansky,Carlos Enrique,Buenos Aires,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Giaccone,Claudia Alejandra,Santa Fe,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Grosso,Leonardo,Buenos Aires,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Grosso,Leonardo,Buenos Aires,2018-10-26,2019-12-09,Movimiento Evita
Grosso,Leonardo,Buenos Aires,2019-12-10,2023-12-09,Frente de Todos
Guccione,Jose Daniel,Misiones,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Gutierrez,Monica Edith,Cordoba,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Ianni,Ana Maria,Santa Cruz,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Ianni,Ana Maria,Santa Cruz,2023-12-10,2027-12-09,Unión por la Patria
Junio,Juan Carlos Isaac,Ciudad de Buenos Aires,2015-06-09,2015-12-09,Solidario Si
Kosiner,Pablo Francisco Juan,Salta,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Kosiner,Pablo Francisco Juan,Salta,2016-02-04,2019-12-09,Justicialista
Larroque,Andres,Ciudad de Buenos Aires,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Larroque,Andres,Ciudad de Buenos Aires,2015-12-10,2019-12-09,Frente para la Victoria - Pj
Larroque,Andres,Buenos Aires,2019-12-10,2020-05-01,Frente de Todos
Lotto,Ines Beatriz,Formosa,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Lotto,Ines Beatriz,Formosa,2015-12-10,2019-12-09,Frente para la Victoria - Pj
Maldonado,Victor Hugo,Chaco,2011-12-10,2015-12-09,Ucr
Martinez,Oscar Ariel,Santa Fe,2013-09-11,2015-12-09,Frente Renovador
Mendoza,Mayra Soledad,Buenos Aires,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Mendoza,Mayra Soledad,Buenos Aires,2015-12-10,2019-12-09,Frente para la Victoria - Pj
Metaza,Mario Alfredo,Santa Cruz,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Mirkin,Beatriz Graciela,Tucuman,2011-12-10,2013-03-02,Frente para la Victoria - Pj
Molina,Manuel Isauro,Catamarca,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Moyano,Juan Facundo,Buenos Aires,2015-07-14,2015-12-09,Frente Renovador
Moyano,Juan Facundo,Buenos Aires,2018-10-22,2019-12-09,Red por Argentina
Moyano,Juan Facundo,Buenos Aires,2019-12-10,2021-08-13,Frente de Todos
Müller,Edgar Raul,Cordoba,2013-09-17,2015-12-09,Compromiso Federal
Navarro,Graciela,Santiago del Estero,2011-12-10,2015-12-09,Frente Civico por Santiago
Navarro,Graciela,Santiago del Estero,2015-12-10,2019-12-09,Frente Civico por Santiago
Navarro,Graciela,Santiago del Estero,2019-12-10,2023-12-09,Frente de Todos
Oporto,Mario Nestor,Buenos Aires,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Ortiz Correa,Marcia Sara Maria,Catamarca,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Ortiz,Mariela,Jujuy,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Perotti,Omar Angel,Santa Fe,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Pietragalla Corti,Horacio,Buenos Aires,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Pietragalla Corti,Horacio,Buenos Aires,2019-12-10,2019-12-10,Frente de Todos
Pietragalla Corti,Horacio,Buenos Aires,2025-12-10,2029-12-09,Unión por la Patria
Pradines,Roberto Arturo,Mendoza,2011-12-10,2015-12-09,Democrata de Mendoza
Rasino,Elida Elena,Santa Fe,2011-12-10,2015-12-09,Partido Socialista
Redczuk,Oscar Felipe,Misiones,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Riestra,Antonio Sabino,Santa Fe,2011-12-10,2015-12-09,Unidad Popular
Rios,Liliana Maria,Entre Rios,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Rivarola,Ruben Armando,Jujuy,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Roberti,Alberto Oscar,Buenos Aires,2015-11-05,2015-12-09,No Integra Bloque
Roberti,Alberto Oscar,Buenos Aires,2016-02-04,2018-05-17,Justicialista
Rogel,Fabian Dulio,Entre Rios,2011-12-10,2015-12-09,Ucr
Ruiz,Aida Delia,Santiago del Estero,2011-12-10,2015-12-09,Frente Civico por Santiago
Sacca,Luis Fernando,Tucuman,2011-12-10,2015-12-09,Ucr
Santillan,Walter Marcelo,Tucuman,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Santillan,Walter Marcelo,Tucuman,2015-12-10,2019-12-09,Frente para la Victoria - Pj
Schmidt Liermann,Cornelia,Ciudad de Buenos Aires,2013-12-10,2015-12-09,Union Pro
Schmidt Liermann,Cornelia,Ciudad de Buenos Aires,2017-12-10,2019-12-09,Pro
Simoncini,Silvia Rosa,Santa Fe,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Tineo,Javier Hector,La Rioja,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Valinotto,Jorge Anselmo,Cordoba,2011-12-10,2015-12-09,Frente Civico - Cordoba
Vaquie,Enrique Andres,Mendoza,2011-12-10,2015-12-09,Ucr
Villa,Jose Antonio,San Juan,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Villata,Graciela Susana,Cordoba,2011-12-10,2015-12-09,Frente Civico - Cordoba
Zabalza,Juan Carlos,Santa Fe,2011-12-10,2015-12-09,Partido Socialista
Ziebart,Cristina Isabel,Chubut,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Gonzalez,Pablo Gerardo,Santa Cruz,2019-12-10,2021-02-10,Frente de Todos
Yagüe,Linda Cristina,Neuquen,2011-11-30,2013-12-09,Ucr
Pucheta,Ramona,Buenos Aires,2013-10-22,2015-12-09,Frente por la Inclusion Social
Yazbek,Ruben David,Catamarca,2011-12-10,2013-12-09,Frente para la Victoria - Pj
Harispe,Gaston,Buenos Aires,2013-12-19,2015-12-09,Frente para la Victoria - Pj
Zamarreño,Maria Eugenia,Buenos Aires,2012-03-14,2015-12-09,Frente para la Victoria - Pj
Contrera,Monica Graciela,Chubut,2013-03-13,2015-12-09,Frente para la Victoria - Pj
Carrillo,Maria del Carmen,Tucuman,2013-03-13,2015-12-09,Frente para la Victoria - Pj
Bettanin,Juan Carlos,Santa Fe,2013-06-28,2013-12-09,Frente Nuevo Encuentro
Kicillof,Axel,Ciudad de Buenos Aires,2015-12-10,2019-12-09,Frente para la Victoria - Pj
Alegre,Gilberto Oscar,Buenos Aires,2015-12-10,2017-12-09,Federal Unidos por una Nueva Argentina
D Alessandro,Marcelo Silvio,Buenos Aires,2015-12-10,2016-03-11,Federal Unidos por una Nueva Argentina
Daer,Hector Ricardo,Buenos Aires,2017-05-16,2017-12-09,Bloque de los Trabajadores
Ehcosor,Maria Azucena,Buenos Aires,2015-12-10,2017-12-09,Federal Unidos por una Nueva Argentina
Fabiani,Eduardo Alberto,Buenos Aires,2016-03-15,2017-12-09,Juntos por Argentina
Giustozzi,Ruben Dario,Buenos Aires,2016-03-15,2017-12-09,Juntos por Argentina
Gutierrez,Hector Maria,Buenos Aires,2013-12-10,2017-12-09,Ucr
Guzman,Sandro Adrian,Buenos Aires,2016-12-01,2017-12-09,Frente Norte
Insaurralde,Martin,Buenos Aires,2013-12-10,2014-12-10,Frente para la Victoria - Pj
Magario,Veronica Maria,Buenos Aires,2013-12-10,2015-12-09,Frente para la Victoria - Pj
Pitrola,Nestor Antonio,Buenos Aires,2015-12-10,2017-06-10,Frente de Izquierda y de los Trabajadores
Romero,Oscar Alberto,Buenos Aires,2016-02-04,2017-12-09,Justicialista
Schwindt,Maria Liliana,Buenos Aires,2015-12-10,2017-12-09,Federal Unidos por una Nueva Argentina
Schwindt,Maria Liliana,Buenos Aires,2020-02-27,2021-12-09,Frente de Todos
Troiano,Gabriela Alejandra,Buenos Aires,2013-12-10,2017-12-09,Partido Socialista
Tundis,Mirta,Buenos Aires,2015-12-10,2017-12-09,Federal Unidos por una Nueva Argentina
Tundis,Mirta,Buenos Aires,2019-12-10,2021-12-09,Frente de Todos
Juarez,Myrian del Valle,Catamarca,2013-12-10,2017-12-09,Frente Civico y Social de Catamarca
Tomassi,Nestor Nicolas,Catamarca,2016-02-04,2017-12-09,Justicialista
Martinez Campos,Gustavo Jose,Chaco,2016-02-04,2017-12-09,Justicialista
Pedrini,Juan Manuel,Chaco,2013-12-10,2017-12-09,Frente para la Victoria - Pj
Pedrini,Juan Manuel,Chaco,2023-12-10,2025-12-09,Unión por la Patria
Tejedor,Miguel Angel,Chaco,2013-12-10,2014-10-21,Ucr
Lagoria,Elia Nelly,Chubut,2013-12-10,2017-12-09,Trabajo y Dignidad
Bergman,Sergio Alejandro,Ciudad de Buenos Aires,2013-12-10,2015-12-09,Union Pro
