grupo,decision,votos_total,solape_ventanas,fuentes_disjuntas,id_a,nombre_a,n_a,camaras_a,desde_a,hasta_a,distrito_a,fuentes_a,id_b,nombre_b,n_b,camaras_b,desde_b,hasta_b,distrito_b,fuentes_b,actas_compartidas
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,1168,1.0,True,leg:927ea18db9c3,"Baldassi, Hector W.",434,diputados,2014-04-24,2025-10-09,CORDOBA,argentinadatos,leg:ad573a2f0414,BALDASSI Héctor Walter,734,diputados,2014-04-24,2020-01-29,CORDOBA,ckan_diputados,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,1129,1.0,True,leg:a4a97a25574c,"ALFONSÍN Ricardo | Alfonsín, Ricardo",1071,diputados,2010-03-18,2017-11-23,BUENOS AIRES,argentinadatos/ckan_diputados,leg:e947a030abbf,"ALFONSIN, Ricardo Luis",58,diputados,2010-03-18,2010-11-24,BUENOS AIRES,decada_votada,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,1071,1.0,True,leg:62cb5934e474,"SNOPEK Guillermo | Snopek, Guillermo",686,diputados,2016-03-15,2026-06-25,JUJUY,argentinadatos/ckan_diputados/manual_2026,leg:9b8a06406975,"SNOPEK, GUILLERMO EUGENIO MARIO",385,senado,2017-12-27,2023-09-28,JUJUY,senado,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,1027,1.0,True,leg:e49955aaeafc,"BENEDETTI Atilio Francisco Salvador | BENEDETTI, Atilio Francisco Salvador",567,diputados,2010-03-18,2020-01-29,ENTRE RIOS,ckan_diputados/decada_votada,leg:e9d6912905d9,"Benedetti, Atilio",460,diputados,2010-03-18,2025-10-09,ENTRE RIOS,argentinadatos,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,951,0.0,True,leg:2db33d715133,GONZÁLEZ Álvaro Gustavo,551,diputados,2016-03-15,2020-01-29,CABA,ckan_diputados,leg:466490719d37,"Gonzalez, Alvaro | González, Álvaro",400,diputados,2020-11-11,2026-06-25,CABA,argentinadatos/manual_2026,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,951,0.0,True,leg:7ee28ba0f9da,NUÑEZ José Carlos,551,diputados,2016-03-15,2020-01-29,SANTA FE,ckan_diputados,leg:886a575a65ac,"Nuñez, Jose | Nuñez, José",400,diputados,2020-11-11,2026-06-25,SANTA FE,argentinadatos/manual_2026,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,951,0.0,True,leg:6c869f084909,"Tailhade, Rodolfo",400,diputados,2020-11-11,2026-06-25,BUENOS AIRES,argentinadatos/manual_2026,leg:cfe8212f1e26,TAILHADE Luis Rodolfo,551,diputados,2016-03-15,2020-01-29,BUENOS AIRES,ckan_diputados,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,951,0.0,True,leg:816e067f49c7,"Banfi, Karina",400,diputados,2020-11-11,2026-06-25,BUENOS AIRES,argentinadatos/manual_2026,leg:f479e489c9d1,BANFI Karina Verónica,551,diputados,2016-03-15,2020-01-29,BUENOS AIRES,ckan_diputados,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,949,1.0,True,leg:bc60913b9f50,"Collantes, Genaro Aurelio",107,diputados,2006-06-07,2009-11-12,CATAMARCA,argentinadatos,leg:c492643273a6,"COLLANTES, Genaro",842,diputados,2005-12-06,2009-11-25,CATAMARCA,decada_votada,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,920,1.0,True,leg:d19e8d9d42ce,"Barletta, Mario",430,diputados,2014-04-24,2025-10-09,SANTA FE,argentinadatos,leg:d1c8ddc09658,BARLETTA Mario Domingo,490,diputados,2014-04-24,2017-11-23,SANTA FE,ckan_diputados,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,846,0.0,True,leg:b7bd841b734c,"Lospennato, Silvia",295,diputados,2020-11-11,2025-10-09,BUENOS AIRES,argentinadatos,leg:d85c03e611ce,LOSPENNATO Silvia Gabriela,551,diputados,2016-03-15,2020-01-29,BUENOS AIRES,ckan_diputados,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,804,1.0,True,leg:3c6edd337462,BIELLA CALVET Bernardo José,407,diputados,2011-12-14,2015-11-26,SALTA,ckan_diputados,leg:eb5003785673,"Biella, Bernardo",397,diputados,2011-12-14,2026-06-25,SALTA,argentinadatos/manual_2026,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,791,1.0,True,leg:7184c6d8405b,"MILMAN Gerardo Fabián | MILMAN, Gerardo Fabián",323,diputados,2010-03-18,2013-11-28,BUENOS AIRES,ckan_diputados/decada_votada,leg:a8416be62df4,"Milman, Gerardo",468,diputados,2010-03-18,2025-10-09,BUENOS AIRES,argentinadatos,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,757,0.52,True,leg:1e6a9e5ad9c5,"AGUIRRE de SORIA, Hilda",324,diputados,2007-12-19,2010-11-24,LA RIOJA,decada_votada,leg:fededee8ca6a,"Aguirre, Hilda",433,diputados,2009-05-20,2026-06-25,LA RIOJA,argentinadatos/manual_2026,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,751,1.0,True,leg:62ae92f9bf94,"Asseff, Alberto",313,diputados,2011-12-14,2023-12-07,BUENOS AIRES,argentinadatos,leg:ba28cc819b8a,ASSEFF Alberto Emilio,438,diputados,2011-12-14,2020-01-29,BUENOS AIRES,ckan_diputados,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,710,0.89,True,leg:61264e68bce3,"CUSINATO, José César Gustavo",541,diputados,2002-03-01,2010-11-24,ENTRE RIOS,decada_votada,leg:7334dea32ee7,"CUSINATO Gustavo | Cusinato, Gustavo",169,diputados,2003-03-01,2011-11-30,ENTRE RIOS,argentinadatos/ckan_diputados,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,689,0.64,True,leg:6098da00a455,"FEIN Mónica Hayde | FEIN, Mónica Hayde",365,diputados,2007-12-19,2011-11-30,SANTA FE,ckan_diputados/decada_votada,leg:fe7c5c68b124,"Fein, Monica",324,diputados,2009-05-20,2025-10-09,SANTA FE,argentinadatos,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,684,0.0,True,leg:0b274795a92c,"Neder, Estela Mary",400,diputados,2020-11-11,2026-06-25,SANTIAGO DEL ESTERO,argentinadatos/manual_2026,leg:8058ac44b733,NEDER Estela Mary del Rosario,284,diputados,2017-11-22,2020-01-29,SANTIAGO DEL ESTERO,ckan_diputados,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,673,0.6,True,leg:0ac6f6bd7f2d,"MEABE de MATHO, Josefina Angélica",584,senado,2010-04-14,2014-11-19,CORRIENTES,decada_votada,leg:3f7dee3ede14,"MEABE, JOSEFINA ANGELICA",89,senado,2013-05-08,2015-11-25,CORRIENTES,argentinadatos/senado,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,646,0.52,True,leg:2f337ebc6870,"FLORES Héctor Toty | Flores, Héctor Toty",322,diputados,2009-05-20,2021-02-11,BUENOS AIRES,argentinadatos/ckan_diputados,leg:67bb2f08a755,"FLORES, Héctor",324,diputados,2007-12-19,2010-11-24,BUENOS AIRES,decada_votada,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,644,0.0,True,leg:32c9c929053d,"Siley, Vanesa Raquel",400,diputados,2020-11-11,2026-06-25,BUENOS AIRES,argentinadatos/manual_2026,leg:3f6c25370e57,SILEY Vanesa,244,diputados,2017-12-18,2020-01-29,BUENOS AIRES,ckan_diputados,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,627,0.0,True,leg:2329dd068c91,ANSALONI Pablo Miguel,244,diputados,2017-12-18,2020-01-29,BUENOS AIRES,ckan_diputados,leg:4dadbcaa74b5,"Ansaloni, Pablo",383,diputados,2020-11-11,2026-06-25,BUENOS AIRES,argentinadatos/manual_2026,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,598,0.0,True,leg:3d39cdacba6b,"Litza, Monica",291,diputados,2022-07-05,2025-10-09,BUENOS AIRES,argentinadatos,leg:fe9da26ab17d,LITZA Mónica Edith,307,diputados,2016-03-15,2017-11-23,BUENOS AIRES,ckan_diputados,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,592,0.0,True,leg:beeeae672df1,"Montenegro, Guillermo",379,diputados,2024-01-31,2026-06-25,BUENOS AIRES,argentinadatos/manual_2026,leg:c854e2553b7c,MONTENEGRO Guillermo Tristán,213,diputados,2017-12-18,2019-11-20,BUENOS AIRES,ckan_diputados,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,539,0.0,True,leg:0fc6daa7fbbe,"Fernandez Patri, Ramiro",295,diputados,2020-11-11,2025-10-09,FORMOSA,argentinadatos,leg:10610957c7a4,FERNANDEZ PATRI Gustavo Ramiro,244,diputados,2017-12-18,2020-01-29,FORMOSA,ckan_diputados,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,539,0.0,True,leg:7101dec0f4ec,"Oliveto Lago, Paula",295,diputados,2020-11-11,2025-10-09,CABA,argentinadatos,leg:ea481c48b8d6,OLIVETO LAGO Paula Mariana,244,diputados,2017-12-18,2020-01-29,CABA,ckan_diputados,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,539,0.0,True,leg:0c48a4f1e2d2,ALLENDE Walberto Enrique,244,diputados,2017-12-18,2020-01-29,SAN JUAN,ckan_diputados,leg:1f986dee686d,"Allende, Walberto",295,diputados,2020-11-11,2025-10-09,SAN JUAN,argentinadatos,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,504,0.0,True,leg:d6eeac11b6c7,ARROYO Daniel Fernando,213,diputados,2017-12-18,2019-11-20,BUENOS AIRES,ckan_diputados,leg:f39984289965,"Arroyo, Daniel",291,diputados,2022-07-05,2025-10-09,BUENOS AIRES,argentinadatos,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,471,0.0,True,leg:b46ac31ef7bd,"Mirabella, Roberto",291,diputados,2022-07-05,2025-10-09,SANTA FE,argentinadatos,leg:d8d4c64f74d8,"MIRABELLA, ROBERTO MARIO",180,senado,2019-12-20,2021-12-09,SANTA FE,senado,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,457,0.6,True,leg:4fe11a7f2f62,"BORELLO, Marta Teresita",368,senado,2011-12-21,2014-11-19,CORDOBA,decada_votada,leg:ca85a123aa3a,"BORELLO, MARTA",89,senado,2013-05-08,2015-11-25,CORDOBA,argentinadatos/senado,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,457,0.0,True,leg:457a26c7f3ec,"LEDESMA ABDALA DE ZAMORA, CLAUDIA",244,senado,2019-12-20,2023-09-28,SANTIAGO DEL ESTERO,senado,leg:9f512fbbd33b,ZAMORA Claudia,213,diputados,2017-12-18,2019-11-20,SANTIAGO DEL ESTERO,ckan_diputados,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,431,0.0,True,leg:32e928de2787,"Cisneros, Carlos",400,diputados,2020-11-11,2026-06-25,TUCUMAN,argentinadatos/manual_2026,leg:8eeac62c43db,CISNEROS Carlos Anibal,31,diputados,2019-12-19,2020-01-29,TUCUMAN,ckan_diputados,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,431,0.0,True,leg:294195a88442,"Sand, Nancy",400,diputados,2020-11-11,2026-06-25,CORRIENTES,argentinadatos/manual_2026,leg:55f24285c804,SAND GIORASI Nancy Aracely,31,diputados,2019-12-19,2020-01-29,CORRIENTES,ckan_diputados,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,431,0.0,True,leg:1bfdc8cc9376,"Ferraro, Maximiliano",400,diputados,2020-11-11,2026-06-25,CABA,argentinadatos/manual_2026,leg:c8b147a5800c,FERRARO Maximiliano Carlos Francisco,31,diputados,2019-12-19,2020-01-29,CABA,ckan_diputados,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,431,0.0,True,leg:96c3d7e97349,"Daives, Ricardo",400,diputados,2020-11-11,2026-06-25,SANTIAGO DEL ESTERO,argentinadatos/manual_2026,leg:f29013e017b9,DAIVES Ricardo Daniel,31,diputados,2019-12-19,2020-01-29,SANTIAGO DEL ESTERO,ckan_diputados,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,431,0.0,True,leg:545130287582,"Gutierrez, Carlos | Gutiérrez, Carlos",400,diputados,2020-11-11,2026-06-25,CORDOBA,argentinadatos/manual_2026,leg:9a1a4721831f,GUTIERREZ Carlos Mario,31,diputados,2019-12-19,2020-01-29,CORDOBA,ckan_diputados,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,431,0.0,True,leg:2df193e2cfb7,GUTIÉRREZ Carlos Ramiro,31,diputados,2019-12-19,2020-01-29,BUENOS AIRES,ckan_diputados,leg:adb806646c87,"Gutierrez, Ramiro | Gutiérrez, Ramiro",400,diputados,2020-11-11,2026-06-25,BUENOS AIRES,argentinadatos/manual_2026,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,398,0.6,True,leg:522718f34b30,"ACOSTA María Julia | Acosta, María Julia",74,diputados,2009-05-20,2011-11-30,CATAMARCA,argentinadatos/ckan_diputados,leg:7b1337a70d73,"ACOSTA de AHUMADA, María Julia",324,diputados,2007-12-19,2010-11-24,CATAMARCA,decada_votada,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,398,0.6,True,leg:90cc581c8806,"AGOSTO Walter Alfredo | Agosto, Walter Alfredo",74,diputados,2009-05-20,2011-11-30,SANTA FE,argentinadatos/ckan_diputados,leg:dd87bdbbfa70,"AGOSTO, Walter",324,diputados,2007-12-19,2010-11-24,SANTA FE,decada_votada,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,398,0.6,True,leg:24b1b1471c01,"ZAVALLO, Gustavo",324,diputados,2007-12-19,2010-11-24,ENTRE RIOS,decada_votada,leg:4857baad8955,"ZAVALLO Gustavo Marcelo | Zavallo, Gustavo Marcelo",74,diputados,2009-05-20,2011-11-30,ENTRE RIOS,argentinadatos/ckan_diputados,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,340,0.0,True,leg:7c9c1075948f,CORPACCI Lucia,31,diputados,2019-12-19,2020-01-29,CATAMARCA,ckan_diputados,leg:a84fc3e1b3b3,"CORPACCI, LUCÍA BENIGNA | Corpacci, Lucia Benigna",309,diputados/senado,2020-11-11,2026-08-07,CATAMARCA,argentinadatos/manual_2026/senado,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,326,0.0,True,leg:7df5c54135a6,LÓPEZ RODRÍGUEZ Dante Edgardo,31,diputados,2019-12-19,2020-01-29,CATAMARCA,ckan_diputados,leg:db6564eec766,"Lopez Rodriguez, Dante",295,diputados,2020-11-11,2025-10-09,CATAMARCA,argentinadatos,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,326,0.0,True,leg:320459f28986,YUTROVIC Ines Carolina,31,diputados,2019-12-19,2020-01-29,TIERRA DEL FUEGO,ckan_diputados,leg:9a4d728beab7,"Yutrovic, Carolina",295,diputados,2020-11-11,2025-10-09,TIERRA DEL FUEGO,argentinadatos,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,299,0.0,True,leg:142aee868ad2,MARZIOTTA Maria Gisela,4,diputados,2020-01-29,2020-01-29,CABA,ckan_diputados,leg:3ad1f3c963e5,"Marziotta, Gisela",295,diputados,2020-11-11,2025-10-09,CABA,argentinadatos,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,286,0.0,True,leg:8800aa059a10,MOREAU Leopoldo Raúl Guido,244,diputados,2017-12-18,2020-01-29,BUENOS AIRES,ckan_diputados,leg:90a2c1da63e9,"MOREAU, Leopoldo Raúl",42,diputados,2002-03-01,2003-03-01,BUENOS AIRES,decada_votada,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,251,0.0,True,leg:95fe3bbb8634,"Taiana, Jorge",105,diputados,2025-12-17,2026-06-25,BUENOS AIRES,argentinadatos/manual_2026,leg:c59cc4e92905,"TAIANA, JORGE ENRIQUE",146,senado,2019-12-20,2021-07-15,BUENOS AIRES,senado,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,247,0.0,True,leg:21e6983f18ce,"CORPACCI de MERCADO, Lucia B .",216,senado,2010-04-14,2011-11-02,CATAMARCA,decada_votada,leg:7c9c1075948f,CORPACCI Lucia,31,diputados,2019-12-19,2020-01-29,CATAMARCA,ckan_diputados,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,105,0.0,True,leg:1cc767abd565,"Herrera Ahuad, Oscar A.",95,diputados,2025-12-17,2026-06-25,MISIONES,argentinadatos,leg:ca8e36ee57b4,"Herrera, Oscar",10,diputados,NaT,NaT,MISIONES,manual_2026,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,52,0.0,True,leg:61d4858c1a5e,AMAYA Domingo,31,diputados,2019-12-19,2020-01-29,TUCUMAN,ckan_diputados,leg:eb499e8d19e7,"Amaya, Domingo Luis",21,diputados,2020-11-11,2023-12-07,TUCUMAN,argentinadatos,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,52,0.0,True,leg:256c9687e6e4,APARICIO Alicia Noemi,31,diputados,2019-12-19,2020-01-29,BUENOS AIRES,ckan_diputados,leg:4e8146bab086,"Aparicio, Alicia N.",21,diputados,2020-11-11,2023-12-07,BUENOS AIRES,argentinadatos,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,52,0.0,True,leg:488945f5f694,LENA Gabriela Mabel,31,diputados,2019-12-19,2020-01-29,ENTRE RIOS,ckan_diputados,leg:922ca54d2c2c,"Lena, Gabriela",21,diputados,2020-11-11,2023-12-07,ENTRE RIOS,argentinadatos,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,52,0.0,True,leg:40316693278c,"Rezinovsky, Dina",21,diputados,2020-11-11,2023-12-07,CABA,argentinadatos,leg:9af01f0886ff,REZINOVSKY Dina Esther,31,diputados,2019-12-19,2020-01-29,CABA,ckan_diputados,0
