grupo,decision,votos_total,solape_ventanas,fuentes_disjuntas,id_a,nombre_a,n_a,camaras_a,desde_a,hasta_a,distrito_a,fuentes_a,id_b,nombre_b,n_b,camaras_b,desde_b,hasta_b,distrito_b,fuentes_b,actas_compartidas
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,52,0.0,True,leg:6c0f76d4c867,VARA Jorge Alberto,31,diputados,2019-12-19,2020-01-29,CORRIENTES,ckan_diputados,leg:c86e66c7fe50,"Vara, Jorge",21,diputados,2020-11-11,2023-12-07,CORRIENTES,argentinadatos,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,52,0.0,True,leg:cb2cbcc587c9,"Fernandez, Eduardo",21,diputados,2020-11-11,2023-12-07,CORDOBA,argentinadatos,leg:fc68188d51b6,FERNANDEZ Eduardo Gabriel,31,diputados,2019-12-19,2020-01-29,CORDOBA,ckan_diputados,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,35,0.0,True,leg:3206e737980b,"Vilar, Daniela Marina",4,diputados,2020-11-11,2021-02-11,BUENOS AIRES,argentinadatos,leg:8a79231478d0,VILAR Daniela,31,diputados,2019-12-19,2020-01-29,BUENOS AIRES,ckan_diputados,0
"2-PROBABLE (mismo distrito, misma fuente)",,2484,0.0,False,leg:643a95a681f7,"BASUALDO, ROBERTO GUSTAVO | BASUALDO, Roberto Gustavo",2172,senado,2005-12-14,2023-09-28,SAN JUAN,argentinadatos/decada_votada/senado,leg:76f58d6f8316,"BASUALDO, Roberto | Basualdo, Roberto",312,diputados,2002-03-01,2005-09-07,SAN JUAN,argentinadatos/decada_votada,0
"2-PROBABLE (mismo distrito, misma fuente)",,2099,0.0,False,leg:3ef764ddfc46,"MARTINEZ, Alfredo | Martinez, Alfredo",312,diputados,2002-03-01,2005-09-07,SANTA CRUZ,argentinadatos/decada_votada,leg:9081ecd105c1,"MARTINEZ, Alfredo Anselmo | MARTÍNEZ, ALFREDO ANSELMO",1787,senado,2005-12-14,2017-11-29,SANTA CRUZ,argentinadatos/decada_votada/senado,0
"2-PROBABLE (mismo distrito, misma fuente)",,2011,0.0,False,leg:8a991428b54d,"FELLNER, Liliana | Fellner, Liliana",224,diputados,2003-12-17,2005-12-06,JUJUY,argentinadatos/decada_votada,leg:d346101f1f8f,"FELLNER, LILIANA BEATRIZ | FELLNER, Liliana Beatriz",1787,senado,2005-12-14,2017-11-29,JUJUY,argentinadatos/decada_votada/senado,0
"2-PROBABLE (mismo distrito, misma fuente)",,1681,1.0,False,leg:45404a432490,"MENEM, EDUARDO | MENEM, Eduardo",656,senado,2004-02-24,2005-11-30,LA RIOJA,argentinadatos/decada_votada,leg:9d2aabfe25d4,"MENEM, Eduardo Adrián | Menem, Eduardo Adrián",1025,diputados,2001-05-03,2007-12-04,LA RIOJA,argentinadatos/decada_votada,0
"2-PROBABLE (mismo distrito, misma fuente)",,1622,1.0,False,leg:698f28b68808,"ROJKES DE ALPEROVICH, BEATRIZ LILIANA | ROJKES de ALPEROVICH, Beatriz Liliana",1038,diputados/senado,2005-12-06,2015-11-25,TUCUMAN,argentinadatos/decada_votada/senado,leg:7ff7abacfbd6,"ROJKES de ALPEROVICH, Beatriz L .",584,senado,2010-04-14,2014-11-19,TUCUMAN,decada_votada,0
"2-PROBABLE (mismo distrito, misma fuente)",,1447,1.0,False,leg:a5e200a1ca1d,"PILATTI VERGARA, Maria Ines Patricia",76,senado,2013-12-18,2014-11-19,CHACO,decada_votada,leg:acd7932a7695,"PILATTI VERGARA María Inés | PILATTI VERGARA, MARÍA INÉS",1371,diputados/senado,2010-03-18,2025-10-02,CHACO,argentinadatos/ckan_diputados/decada_votada/senado,0
"2-PROBABLE (mismo distrito, misma fuente)",,1374,0.0,False,leg:38998beef8bf,"BORTOLOZZI de BOGADO, Adriana Raquel | Bortolozzi de Bogado, Adriana Raquel",324,diputados,1997-03-19,2005-09-07,FORMOSA,argentinadatos/decada_votada,leg:d661f824690d,"BORTOLOZZI, ADRIANA RAQUEL | BORTOLOZZI, Adriana Raquel",1050,senado,2005-12-14,2011-11-02,FORMOSA,argentinadatos/decada_votada,0
"2-PROBABLE (mismo distrito, misma fuente)",,1242,1.0,False,leg:38e4f2396b95,"AGUIRRE Hilda Clelia | AGUIRRE, HILDA CLELIA",809,diputados/senado,2011-03-16,2020-01-29,LA RIOJA,argentinadatos/ckan_diputados/decada_votada/senado,leg:fededee8ca6a,"Aguirre, Hilda",433,diputados,2009-05-20,2026-06-25,LA RIOJA,argentinadatos/manual_2026,0
"2-PROBABLE (mismo distrito, misma fuente)",,1214,0.0,False,leg:7897e177cf19,"GONZALEZ de DUHALDE, Hilda",164,diputados,2001-05-03,2005-12-06,BUENOS AIRES,decada_votada,leg:92e93db3ad23,"GONZALEZ DE DUHALDE, Hilda Beatriz | GONZÁLEZ DE DUHALDE, HILDA BEATRIZ",1050,senado,2005-12-14,2011-11-02,BUENOS AIRES,argentinadatos/decada_votada,0
"2-PROBABLE (mismo distrito, misma fuente)",,1101,1.0,False,leg:645e68cd4332,"MARTINEZ Ernesto Félix | MARTINEZ, Ernesto Félix",1062,diputados/senado,2010-03-18,2021-12-09,CORDOBA,argentinadatos/ckan_diputados/decada_votada/senado,leg:a7db09741630,"MARTINEZ CARIGNANO, Ernesto Félix",39,diputados,2010-03-18,2010-08-11,CORDOBA,decada_votada,0
"2-PROBABLE (mismo distrito, misma fuente)",,982,1.0,False,leg:85a5313106f4,"PETRI Luis Alfonso | Petri, Luis Alfonso",738,diputados,2014-04-24,2021-02-11,MENDOZA,argentinadatos/ckan_diputados,leg:eb208baffaf1,"Petri, Luis",244,diputados,2014-04-24,2026-06-25,MENDOZA,argentinadatos/manual_2026,0
"2-PROBABLE (mismo distrito, misma fuente)",,964,0.0,False,leg:1a9061a756d0,"Bermejo, Adolfo",291,diputados,2022-07-05,2025-10-09,MENDOZA,argentinadatos,leg:4e52d037c227,"BERMEJO, ROLANDO ADOLFO | BERMEJO, Rolando Adolfo",673,senado,2010-04-14,2015-11-25,MENDOZA,argentinadatos/decada_votada/senado,0
"2-PROBABLE (mismo distrito, misma fuente)",,691,1.0,False,leg:3cde04402f30,"COLOMBI, Horacio Ricardo",24,diputados,2001-05-03,2001-11-28,CORRIENTES,decada_votada,leg:cdb1b7bdc16b,"COLOMBI, Ricardo | Colombi, Ricardo",667,diputados,2001-05-03,2007-11-29,CORRIENTES,argentinadatos/decada_votada,0
"2-PROBABLE (mismo distrito, misma fuente)",,561,0.0,False,leg:aaf0f4d9b88a,"Pitrola, Nestor",105,diputados,2025-12-17,2026-06-25,BUENOS AIRES,argentinadatos/manual_2026,leg:ff3f05c5fbde,"PITROLA Néstor Antonio | Pitrola, Néstor Antonio",456,diputados,2014-04-24,2017-05-09,BUENOS AIRES,argentinadatos/ckan_diputados,0
"2-PROBABLE (mismo distrito, misma fuente)",,491,1.0,False,leg:4ce94d51b22a,"GONZALEZ, Pablo Gerardo | GONZÁLEZ Pablo Gerardo",402,diputados/senado,2011-12-21,2020-12-29,SANTA CRUZ,argentinadatos/ckan_diputados/decada_votada,leg:9c5836b6e3c2,"GONZÁLEZ, PABLO G.",89,senado,2013-05-08,2015-11-25,SANTA CRUZ,argentinadatos/senado,0
"2-PROBABLE (mismo distrito, misma fuente)",,463,1.0,False,leg:4034822398b2,"VAZQUEZ Silvia Beatriz | VAZQUEZ, Silvia Beatriz",139,diputados,1994-06-10,2011-11-30,BUENOS AIRES,argentinadatos/ckan_diputados/decada_votada,leg:e9adacc0d9ce,"VAZQUEZ de TABERNISE, Silvia Beatriz",324,diputados,2007-12-19,2010-11-24,BUENOS AIRES,decada_votada,0
"2-PROBABLE (mismo distrito, misma fuente)",,428,1.0,False,leg:a6f33ebbf3f3,"Soria, Martin",278,diputados,2020-11-11,2025-10-09,RIO NEGRO,argentinadatos,leg:edddacdc0406,"SORIA Martin Ignacio | SORIA, MARTIN IGNACIO",150,diputados/senado,2019-12-19,2026-08-07,CORDOBA/RIO NEGRO,argentinadatos/ckan_diputados/manual_2026,0
"2-PROBABLE (mismo distrito, misma fuente)",,132,1.0,False,leg:15b66286856b,"SUAREZ ALVAREZ DE PALOU, Marta",29,diputados,2001-05-03,2002-03-14,MISIONES,decada_votada,leg:c7495b04020a,"PALOU, Marta | Palou, Marta",103,diputados,2001-05-03,2003-12-04,MISIONES,argentinadatos/decada_votada,0
"3-PROBABLE (sin distrito, fuentes disjuntas)",,1275,1.0,True,leg:1e5401fb3e8d,"BIANCHI SILVESTRE, Marcela",1059,diputados,2002-03-01,2009-11-25,BUENOS AIRES,decada_votada,leg:f897af3d1b97,"Bianchi Silvestre, Marcela Alejandra",216,diputados,1994-06-10,2009-11-12,,argentinadatos,0
"3-PROBABLE (sin distrito, fuentes disjuntas)",,1022,1.0,True,leg:9dddc1546a55,"CAPOS, LILIANA",17,senado,2005-11-09,2005-11-24,,argentinadatos,leg:e693d138adfe,"CAPOS, Liliana Delia",1005,senado,2004-02-24,2007-12-05,TIERRA DEL FUEGO,decada_votada,0
"3-PROBABLE (sin distrito, fuentes disjuntas)",,975,0.99,True,leg:677a6e882c56,"MARTINEZ GARBINO, Emilio",842,diputados,2005-12-06,2009-11-25,ENTRE RIOS,decada_votada,leg:e74a0d47c255,"Martinez Garbino, Emilio Raúl",133,diputados,1994-06-10,2009-11-12,,argentinadatos,0
"3-PROBABLE (sin distrito, fuentes disjuntas)",,961,0.99,True,leg:83e5d7f70468,"Santander, Mario Armando",119,diputados,1997-03-19,2009-11-12,,argentinadatos,leg:a5e09bcfcdfa,"SANTANDER, Mario",842,diputados,2005-12-06,2009-11-25,LA RIOJA,decada_votada,0
"3-PROBABLE (sin distrito, fuentes disjuntas)",,949,1.0,True,leg:9620a2a748c9,"ACUÑA KUNZ, Juan",842,diputados,2005-12-06,2009-11-25,SANTA CRUZ,decada_votada,leg:b50a357ff51a,"Acuña Kunz, Juan Erwin",107,diputados,2006-06-07,2009-11-12,,argentinadatos,0
"3-PROBABLE (sin distrito, fuentes disjuntas)",,949,1.0,True,leg:2f97e790d2ef,"ZANCADA, Pablo",842,diputados,2005-12-06,2009-11-25,SANTA FE,decada_votada,leg:4bc90a72c08e,"Zancada, Pablo Ventura",107,diputados,2006-06-07,2009-11-12,,argentinadatos,0
"3-PROBABLE (sin distrito, fuentes disjuntas)",,949,1.0,True,leg:72951ac5f284,"Fabris, Luciano Rafael",107,diputados,2006-06-07,2009-11-12,,argentinadatos,leg:d8482c1686f1,"FABRIS, Luciano",842,diputados,2005-12-06,2009-11-25,CHACO,decada_votada,0
"3-PROBABLE (sin distrito, fuentes disjuntas)",,949,1.0,True,leg:45866604e936,"Ginzburg, Nora Raquel",107,diputados,2006-06-07,2009-11-12,,argentinadatos,leg:e8ac4c468eeb,"GINZBURG, Nora",842,diputados,2005-12-06,2009-11-25,CABA,decada_votada,0
"3-PROBABLE (sin distrito, fuentes disjuntas)",,949,1.0,True,leg:122ca1dc302b,"Pastoriza, Eduardo Antonio",107,diputados,2006-06-07,2009-11-12,,argentinadatos,leg:74e5b959406d,"PASTORIZA, Eduardo",842,diputados,2005-12-06,2009-11-25,CATAMARCA,decada_votada,0
"3-PROBABLE (sin distrito, fuentes disjuntas)",,949,1.0,True,leg:49cb59cf440e,"Cesar, Nora Noemí",107,diputados,2006-06-07,2009-11-12,,argentinadatos,leg:c4556e55cff1,"CESAR, Nora",842,diputados,2005-12-06,2009-11-25,BUENOS AIRES,decada_votada,0
"3-PROBABLE (sin distrito, fuentes disjuntas)",,949,1.0,True,leg:80d53a9e1998,"Garcia Mendez, Emilio Arturo",107,diputados,2006-06-07,2009-11-12,,argentinadatos,leg:c9993907cfd4,"GARCIA MENDEZ, Emilio",842,diputados,2005-12-06,2009-11-25,CABA,decada_votada,0
"3-PROBABLE (sin distrito, fuentes disjuntas)",,949,1.0,True,leg:34e2127f300c,"GALANTINI, Eduardo",842,diputados,2005-12-06,2009-11-25,CORRIENTES,decada_votada,leg:d609957c98c6,"Galantini, Eduardo Leonel",107,diputados,2006-06-07,2009-11-12,,argentinadatos,0
"3-PROBABLE (sin distrito, fuentes disjuntas)",,949,1.0,True,leg:0d815d6a6470,"Delich, Francisco José",107,diputados,2006-06-07,2009-11-12,,argentinadatos,leg:10441e96987c,"DELICH, Francisco",842,diputados,2005-12-06,2009-11-25,CORDOBA,decada_votada,0
"3-PROBABLE (sin distrito, fuentes disjuntas)",,949,1.0,True,leg:408a1e83ae23,"LEMOS, Silvia",842,diputados,2005-12-06,2009-11-25,MENDOZA,decada_votada,leg:edd1f846d535,"Lemos, Silvia Beatriz",107,diputados,2006-06-07,2009-11-12,,argentinadatos,0
"3-PROBABLE (sin distrito, fuentes disjuntas)",,944,1.0,True,leg:86369a4a843d,"DALLA FONTANA, Ariel",837,diputados,2005-12-14,2009-11-25,SANTA FE,decada_votada,leg:dc6028edd6f1,"Dalla Fontana, Ariel  Raúl Armando",107,diputados,2006-06-07,2009-11-12,,argentinadatos,0
"3-PROBABLE (sin distrito, fuentes disjuntas)",,922,1.0,True,leg:9010e2995814,"FALCO, Luis Alberto",905,senado,2004-02-24,2007-07-04,RIO NEGRO,decada_votada,leg:be61b5d2cc1e,"FALCO, LUIS",17,senado,2005-11-09,2005-11-24,,argentinadatos,0
"3-PROBABLE (sin distrito, fuentes disjuntas)",,893,1.0,True,leg:556d7f89b12f,"FERRIGNO OBARRIO, Santiago",711,diputados,2003-12-17,2007-12-04,LA PAMPA,decada_votada,leg:e35971918eec,"Ferrigno, Santiago",182,diputados,2004-04-01,2007-11-14,,argentinadatos,0
"3-PROBABLE (sin distrito, fuentes disjuntas)",,893,1.0,True,leg:4b8dd3d30356,"Bosch, Irene Miriam",182,diputados,2004-04-01,2007-11-14,,argentinadatos,leg:fbdfef09e7c2,"BOSCH de SARTORI, Irene Miriam",711,diputados,2003-12-17,2007-12-04,MISIONES,decada_votada,0
"3-PROBABLE (sin distrito, fuentes disjuntas)",,839,1.0,True,leg:364ceb043c08,"CAMAÑO, Dante",732,diputados,2006-05-31,2009-11-25,BUENOS AIRES,decada_votada,leg:59bc4442cca5,"Camaño, Dante Alberto",107,diputados,2006-06-07,2009-11-12,,argentinadatos,0
"3-PROBABLE (sin distrito, fuentes disjuntas)",,656,1.0,True,leg:d0748eae76d1,"ARANCIO DE BELLER, Mónica",639,senado,2004-02-24,2005-11-30,JUJUY,decada_votada,leg:fbc0ecc747d0,"ARANCIO de BELLER, LYLIA MÓNICA",17,senado,2005-11-09,2005-11-24,,argentinadatos,0
"3-PROBABLE (sin distrito, fuentes disjuntas)",,648,1.0,True,leg:8800aa059a10,MOREAU Leopoldo Raúl Guido,244,diputados,2017-12-18,2020-01-29,BUENOS AIRES,ckan_diputados,leg:b794ed2d3645,"Moreau, Leopoldo",404,diputados,1994-06-10,2025-10-09,,argentinadatos,0
"3-PROBABLE (sin distrito, fuentes disjuntas)",,539,0.0,True,leg:8584a77eb06f,"Reyes, Roxana",295,diputados,2020-11-11,2025-10-09,,argentinadatos,leg:9b8601d58cb0,REYES Roxana Nahir,244,diputados,2017-12-18,2020-01-29,SANTA CRUZ,ckan_diputados,0
"3-PROBABLE (sin distrito, fuentes disjuntas)",,446,1.0,True,leg:90a2c1da63e9,"MOREAU, Leopoldo Raúl",42,diputados,2002-03-01,2003-03-01,BUENOS AIRES,decada_votada,leg:b794ed2d3645,"Moreau, Leopoldo",404,diputados,1994-06-10,2025-10-09,,argentinadatos,0
"3-PROBABLE (sin distrito, fuentes disjuntas)",,373,1.0,True,leg:7450b3bd5804,"FERNÁNDEZ, ANIBAL",5,senado,2013-05-08,2013-05-09,,argentinadatos,leg:aad3d74645f0,"FERNANDEZ, Aníbal Domingo",368,senado,2011-12-21,2014-11-19,BUENOS AIRES,decada_votada,0
"3-PROBABLE (sin distrito, fuentes disjuntas)",,366,0.0,True,leg:1935b1a636bc,"Olalla de Moreira, Stella Maris",122,senado,2024-07-04,2025-10-02,,argentinadatos,leg:ce68255712d5,"OLALLA, STELLA MARIS",244,senado,2019-12-20,2023-09-28,ENTRE RIOS,senado,0
"3-PROBABLE (sin distrito, fuentes disjuntas)",,366,0.0,True,leg:5954673c399b,"RODAS, ANTONIO JOSÉ",244,senado,2019-12-20,2023-09-28,CHACO,senado,leg:b3e568e170ef,"Rodas, Antonio",122,senado,2024-07-04,2025-10-02,,argentinadatos,0
"3-PROBABLE (sin distrito, fuentes disjuntas)",,312,1.0,True,leg:c103c1e4186f,"ABALOS, Roberto",217,diputados,2002-03-01,2005-09-07,SANTIAGO DEL ESTERO,decada_votada,leg:e87f8d9c1ae6,"Abalos, Roberto José",95,diputados,2003-03-01,2005-09-07,,argentinadatos,0
"3-PROBABLE (sin distrito, fuentes disjuntas)",,305,0.0,True,leg:0451cfd41d79,"ALVAREZ RIVERO, CARMEN | ÁLVAREZ RIVERO, CARMEN",71,senado,2021-12-29,2023-09-28,CORDOBA/SANTA FE,manual_2026/senado,leg:d2a384ebfd8b,"Alvarez Rivero, Carmen Silvia",234,senado,2024-07-04,2026-08-07,,argentinadatos,0
"3-PROBABLE (sin distrito, fuentes disjuntas)",,297,1.0,True,leg:4819f762c5e3,"RUIZ DIAZ, Elsa Beatriz",292,senado,2011-12-21,2013-12-04,ENTRE RIOS,decada_votada,leg:fc4e93b057d5,"RUIZ DIAZ, ELSA B.",5,senado,2013-05-08,2013-05-09,,argentinadatos,0
"3-PROBABLE (sin distrito, fuentes disjuntas)",,119,0.0,True,leg:929d25cfb09f,"Coto, Agustín",112,senado,2025-11-28,2026-08-07,,argentinadatos,leg:9db028f422d2,"COTO, AGUSTÍN PEDRO",7,senado,NaT,NaT,NEUQUEN,manual_2026,0
"3-PROBABLE (sin distrito, fuentes disjuntas)",,119,0.0,True,leg:97bbbf7cc358,"Royón, Flavia",112,senado,2025-11-28,2026-08-07,,argentinadatos,leg:c4eabf6d9ca4,"ROYÓN, FLAVIA GABRIELA",7,senado,NaT,NaT,LA RIOJA,manual_2026,0
"3-PROBABLE (sin distrito, fuentes disjuntas)",,119,0.0,True,leg:43475430d69a,"MONTE DE OCA, MARÍA BELÉN",7,senado,NaT,NaT,"TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR",manual_2026,leg:5bbadda594e8,"Monte de Oca, Belén",112,senado,2025-11-28,2026-08-07,,argentinadatos,0
"3-PROBABLE (sin distrito, fuentes disjuntas)",,52,0.0,True,leg:456c40c2dd0f,"Rodriguez, Alejandro ""Topo""",21,diputados,2020-11-11,2023-12-07,,argentinadatos,leg:c183b6af140a,RODRIGUEZ Alejandro,31,diputados,2019-12-19,2020-01-29,BUENOS AIRES,ckan_diputados,0
"3-PROBABLE (sin distrito, fuentes disjuntas)",,31,0.0,True,leg:839eeae73918,"ARAGONES de JUAREZ, Mercedes María",5,diputados,2002-03-01,2002-03-14,SANTIAGO DEL ESTERO,decada_votada,leg:b2b0502b391a,"Aragones de Juarez, Mercedes",26,diputados,1994-06-10,1997-08-06,,argentinadatos,0
"4-REVISAR (sin distrito, misma fuente)",,1036,0.0,False,leg:6205630ccb27,"TERRAGNO, RODOLFO | TERRAGNO, Rodolfo",1022,senado,2004-02-24,2007-12-05,CABA,argentinadatos/decada_votada,leg:f87922896cc7,"Terragno, Rodolfo Héctor",14,diputados,1994-06-10,1994-12-22,,argentinadatos,0
"4-REVISAR (sin distrito, misma fuente)",,997,1.0,False,leg:2266072f22e6,"RODRÍGUEZ MACHADO, LAURA ELENA | Rodriguez Machado, Laura Elena",706,diputados/senado,2016-03-30,2026-06-25,CORDOBA,argentinadatos/manual_2026/senado,leg:6db8e046a423,"Rodriguez Machado, Laura",291,diputados,2022-07-05,2025-10-09,,argentinadatos,0
"4-REVISAR (sin distrito, misma fuente)",,951,1.0,False,leg:2569ce855012,"ESTEVEZ Gabriela Beatriz | Estevez, Gabriela Beatriz",719,diputados,2016-03-15,2026-06-25,CORDOBA,argentinadatos/ckan_diputados/manual_2026,leg:725afec4d4e7,"Estevez, Gabriela",232,diputados,2020-11-11,2025-04-08,,argentinadatos,0
"4-REVISAR (sin distrito, misma fuente)",,773,1.0,False,leg:28025e077756,"CORNEJO Alfredo Victor | CORNEJO, ALFREDO VICTOR",769,diputados/senado,2005-12-06,2023-09-28,MENDOZA,argentinadatos/ckan_diputados/decada_votada/senado,leg:fc9aab5e4c87,"Cornejo, Alfredo",4,diputados,2020-11-11,2021-02-11,,argentinadatos,0
"4-REVISAR (sin distrito, misma fuente)",,424,0.0,False,leg:929d25cfb09f,"Coto, Agustín",112,senado,2025-11-28,2026-08-07,,argentinadatos,leg:edbc9113c8ae,"COTO, Alberto Agustín | Coto, Alberto Agustín",312,diputados,2002-03-01,2005-09-07,BUENOS AIRES,argentinadatos/decada_votada,0
"4-REVISAR (sin distrito, misma fuente)",,381,0.0,False,leg:0d5c197f5c82,"Villaverde, María Lorena",2,senado,2025-11-28,2025-11-28,,argentinadatos,leg:8eb0a3fe422f,"Villaverde, Lorena",379,diputados,2024-01-31,2026-06-25,RIO NEGRO,argentinadatos/manual_2026,0
"4-REVISAR (sin distrito, misma fuente)",,117,0.0,False,leg:6358adaef5c0,"Gonzalez Estevarena, Maria Luisa | González Estevarena, María Luisa",105,diputados,2025-12-17,2026-06-25,BUENOS AIRES,argentinadatos/manual_2026,leg:eeaf9aeb7bd4,"Gonzalez, María Luisa",12,diputados,1997-03-19,1997-08-06,,argentinadatos,0
"4-REVISAR (sin distrito, misma fuente)",,102,0.0,False,leg:cb9b2bbc51d4,"COLOMBO, María Teresita del Valle | Colombo, María Teresita del Valle",39,diputados,2001-05-03,2001-11-29,CATAMARCA,argentinadatos/decada_votada,leg:d0e6341bff89,"COLOMBO de ACEVEDO, MARÍA TERESITA DEL VALLE",63,senado,2005-11-09,2009-11-25,,argentinadatos,0
"4-REVISAR (sin distrito, misma fuente)",,80,0.0,False,leg:7450b3bd5804,"FERNÁNDEZ, ANIBAL",5,senado,2013-05-08,2013-05-09,,argentinadatos,leg:b538a076d24d,"FERNANDEZ, Horacio Anibal | Fernandez, Horacio Anibal",75,diputados,2002-10-09,2003-12-04,LA PAMPA,argentinadatos/decada_votada,0
"4-REVISAR (sin distrito, misma fuente)",,26,0.0,False,leg:a7617b3e9981,"Rodriguez, José",14,diputados,1994-06-10,1994-12-22,,argentinadatos,leg:e191a3f4c785,"Chica Rodriguez, Juan José",12,diputados,1997-03-19,1997-08-06,,argentinadatos,0
"4-REVISAR (sin distrito, misma fuente)",,22,0.0,False,leg:0009ced1e733,"Prades, C. Facundo",16,diputados,2025-10-08,2025-10-09,SANTA CRUZ,argentinadatos,leg:c26809cb5a56,"Prades, Carlos Facundo",6,diputados,2025-09-17,2025-09-17,,argentinadatos,0
"5-REVISAR (distritos distintos, fuentes disjuntas)",,899,0.0,True,leg:17c79731a836,MASSOT Nicolás María,520,diputados,2016-03-15,2019-11-20,CORDOBA,ckan_diputados,leg:7d8a43b3d2e8,"Massot, Nicolas | Massot, Nicolás",379,diputados,2024-01-31,2026-06-25,BUENOS AIRES,argentinadatos/manual_2026,0
"5-REVISAR (distritos distintos, fuentes disjuntas)",,431,0.0,True,leg:2df193e2cfb7,GUTIÉRREZ Carlos Ramiro,31,diputados,2019-12-19,2020-01-29,BUENOS AIRES,ckan_diputados,leg:545130287582,"Gutierrez, Carlos | Gutiérrez, Carlos",400,diputados,2020-11-11,2026-06-25,CORDOBA,argentinadatos/manual_2026,0
"5-REVISAR (distritos distintos, fuentes disjuntas)",,301,1.0,True,leg:2cf175464503,"SCIOLI Daniel | Scioli, Daniel",259,diputados,2001-05-03,2020-01-29,BUENOS AIRES,argentinadatos/ckan_diputados,leg:f5cdc25d7918,"SCIOLI, Daniel Osvaldo",42,diputados,2001-05-03,2002-11-04,CABA,decada_votada,0
"6-DUDOSO (distritos distintos, misma fuente)",,3158,0.0,False,leg:24c1d56ef333,"Marino, Juan",394,diputados,2022-09-16,2026-06-25,BUENOS AIRES,argentinadatos/manual_2026,leg:28ecb19ad84d,"MARINO, JUAN CARLOS | MARINO, Juan Carlos",2764,senado,2004-02-24,2021-12-09,LA PAMPA,argentinadatos/decada_votada/senado,0
"6-DUDOSO (distritos distintos, misma fuente)",,1035,0.0,False,leg:cd393abd7976,ALONSO Laura Valeria,213,diputados,2017-12-18,2019-11-20,BUENOS AIRES,ckan_diputados,leg:d5481880f8f4,"ALONSO Laura | ALONSO, Laura",822,diputados,2010-03-18,2015-11-26,CABA,argentinadatos/ckan_diputados/decada_votada,0
"6-DUDOSO (distritos distintos, misma fuente)",,526,0.0,False,leg:a22524ec8f06,"SANTILLI, DIEGO CESAR | SANTILLI, Diego Cesar",235,diputados/senado,2002-10-09,2015-11-25,CABA,argentinadatos/decada_votada/senado,leg:b449008ab50b,"Santilli, Diego",291,diputados,2022-07-05,2025-10-09,BUENOS AIRES,argentinadatos,0
"6-DUDOSO (distritos distintos, misma fuente)",,410,0.0,False,leg:231c9b58f76a,"Cervi, Pablo",291,diputados,2022-07-05,2025-10-09,NEUQUEN,argentinadatos,leg:37435e282f12,"CERVI, MARIO PABLO | Cervi, Mario Pablo",119,senado,2025-11-28,2026-08-07,RIO NEGRO,argentinadatos/manual_2026,0
"6-DUDOSO (distritos distintos, misma fuente)",,393,0.0,False,leg:57254b3ceb59,"Marquez, Nadia Judith | MÁRQUEZ, NADIA JUDITH",119,senado,2025-11-28,2026-08-07,JUJUY,argentinadatos/manual_2026,leg:d40abe5165a1,"Marquez, Nadia",274,diputados,2024-01-31,2025-10-09,NEUQUEN,argentinadatos,0
"6-DUDOSO (distritos distintos, misma fuente)",,393,0.0,False,leg:13228d18238d,"OROZCO, MARÍA EMILIA | Orozco, María Emilia",119,senado,2025-11-28,2026-08-07,SANTIAGO DEL ESTERO,argentinadatos/manual_2026,leg:97518caaac55,"Orozco, Emilia",274,diputados,2024-01-31,2025-10-09,SALTA,argentinadatos,0
