senador,clave,provincia,bloque,desde,hasta,fuente,nota
"URTUBEY, RODOLFO JULIO",JULIO RODOLFO URTUBEY,SALTA,FRENTE PARA LA VICTORIA - PJ,2015-01-01,2017-12-09,curado:decada2014,decada 2014; wiki17-19 sugeria: JUSTICIALISTA
"BASUALDO, ROBERTO GUSTAVO",BASUALDO GUSTAVO ROBERTO,SAN JUAN,PRODUCCIÓN Y TRABAJO,2015-01-01,2017-12-09,curado:decada2014,decada 2014
"GODOY, RUPERTO EDUARDO",EDUARDO GODOY RUPERTO,SAN JUAN,FRENTE PARA LA VICTORIA - PJ,2015-01-01,2017-12-09,curado:decada2014,decada 2014
"RIOFRÍO, MARINA RAQUEL",MARINA RAQUEL RIOFRIO,SAN JUAN,FRENTE PARA LA VICTORIA - PJ,2015-01-01,2017-12-09,curado:decada2014,decada 2014
"NEGRE DE ALONSO, LILIANA TERESITA",ALONSO LILIANA NEGRE TERESITA,SAN LUIS,JUSTICIALISTA SAN LUIS,2015-01-01,2017-12-09,curado:decada2014,decada 2014
"PÉRSICO, DANIEL RAÚL",DANIEL PERSICO RAUL,SAN LUIS,FRENTE PARA LA VICTORIA - PJ,2015-01-01,2017-12-09,curado:decada2014,decada 2014
"RODRÍGUEZ SAÁ, ADOLFO",ADOLFO RODRIGUEZ SAA,SAN LUIS,JUSTICIALISTA SAN LUIS,2015-01-01,2017-12-09,curado:decada2014,decada 2014; wiki17-19 sugeria: UNIDAD JUSTICIALISTA
"GARCÍA, VIRGINIA MARÍA",GARCIA MARIA VIRGINIA,SANTA CRUZ,FRENTE PARA LA VICTORIA - PJ,2015-01-01,2017-12-09,curado:inferido,electa 2015 FpV Santa Cruz. REVISAR
"GONZÁLEZ, PABLO G.",G GONZALEZ PABLO,SANTA CRUZ,FRENTE PARA LA VICTORIA - PJ,2015-01-01,2017-12-09,curado:inferido,electo 2015 FpV Santa Cruz. REVISAR
"LABADO, MARÍA ESTER",ESTER LABADO MARIA,SANTA CRUZ,FRENTE PARA LA VICTORIA - PJ,2015-01-01,2017-12-09,curado:decada2014,decada 2014
"MARTÍNEZ, ALFREDO ANSELMO",ALFREDO ANSELMO MARTINEZ,SANTA CRUZ,UNIÓN CÍVICA RADICAL,2015-01-01,2017-12-09,curado:decada2014,decada 2014
"GIUSTINIANI, RUBÉN HÉCTOR",GIUSTINIANI HECTOR RUBEN,SANTA FE,SOCIALISTA,2015-01-01,2017-12-09,curado:decada2014,decada 2014
"LATORRE, ROXANA ITATÍ",ITATI LATORRE ROXANA,SANTA FE,FEDERALISMO SANTAFESINO,2015-01-01,2017-12-09,curado:decada2014,decada 2014
"PEROTTI, OMAR ÁNGEL",ANGEL OMAR PEROTTI,SANTA FE,FRENTE PARA LA VICTORIA - PJ,2015-01-01,2017-12-09,curado:inferido,electo 2015; wiki17-19 (JUSTICIALISTA) es etiqueta POST-ruptura dic-2017. REVISAR
"REUTEMANN, CARLOS ALBERTO",ALBERTO CARLOS REUTEMANN,SANTA FE,SANTA FE FEDERAL,2015-01-01,2017-12-09,curado:decada2014,decada 2014
"SACNUN, MARÍA DE LOS ÁNGELES",ANGELES MARIA SACNUN,SANTA FE,FRENTE PARA LA VICTORIA-PJ,2015-01-01,2017-12-09,curado:wiki2017-19,bloque estable del periodo siguiente; sin dato 2014
"ITÚRREZ DE CAPPELLINI, ADA ROSA DEL VALLE",ADA CAPPELLINI ITURREZ ROSA VALLE,SANTIAGO DEL ESTERO,FRENTE CÍVICO POR SANTIAGO,2015-01-01,2017-12-09,curado:wiki2017-19,bloque estable del periodo siguiente; sin dato 2014
"MONTENEGRO, GERARDO ANTENOR",ANTENOR GERARDO MONTENEGRO,SANTIAGO DEL ESTERO,FRENTE POPULAR,2015-01-01,2017-12-09,curado:decada2014,decada 2014
"ZAMORA, GERARDO",GERARDO ZAMORA,SANTIAGO DEL ESTERO,FRENTE CÍVICO POR SANTIAGO,2015-01-01,2017-12-09,curado:decada2014,decada 2014
"BERTONE, ROSANA ANDREA",ANDREA BERTONE ROSANA,"TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR",FRENTE PARA LA VICTORIA - PJ,2015-01-01,2017-12-09,curado:decada2014,decada 2014
"BOYADJIAN, MIRIAM RUTH",BOYADJIAN MIRIAM RUTH,"TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR",MOVIMIENTO POPULAR FUEGUINO,2015-01-01,2017-12-09,curado:wiki2017-19,bloque estable del periodo siguiente; sin dato 2014
"CATALÁN MAGNI, JULIO CÉSAR",CATALAN CESAR JULIO MAGNI,"TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR",FRENTE PARA LA VICTORIA - PJ,2015-01-01,2017-12-09,curado:decada2014,decada 2014; wiki17-19 sugeria: JUSTICIALISTA
"GARRAMUÑO, JORGE ALBERTO",ALBERTO GARRAMUNO JORGE,"TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR",MOVIMIENTO POPULAR FUEGUINO,2015-01-01,2017-12-09,curado:decada2014,decada 2014
"OJEDA, JOSÉ ANATOLIO",ANATOLIO JOSE OJEDA,"TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR",FRENTE PARA LA VICTORIA - PJ,2015-01-01,2017-12-09,curado:inferido,electo 2015; wiki17-19 (JUSTICIALISTA) es etiqueta POST-ruptura dic-2017. REVISAR
"ALPEROVICH, JOSÉ JORGE",ALPEROVICH JORGE JOSE,TUCUMAN,PERONISMO TUCUMÁN,2015-01-01,2017-12-09,curado:wiki2017-19,bloque estable del periodo siguiente; sin dato 2014
"ELÍAS DE PÉREZ, SILVIA BEATRIZ",BEATRIZ ELIAS PEREZ SILVIA,TUCUMAN,UNIÓN CÍVICA RADICAL,2015-01-01,2017-12-09,curado:decada2014,decada 2014
"MANSILLA, SERGIO FRANCISCO",FRANCISCO MANSILLA SERGIO,TUCUMAN,FRENTE PARA LA VICTORIA - PJ,2015-01-01,2017-12-09,curado:decada2014,decada 2014
"MIRKIN, BEATRIZ GRACIELA",BEATRIZ GRACIELA MIRKIN,TUCUMAN,PERONISMO TUCUMÁN,2015-01-01,2017-12-09,curado:wiki2017-19,bloque estable del periodo siguiente; sin dato 2014
"ROJKES DE ALPEROVICH, BEATRIZ LILIANA",ALPEROVICH BEATRIZ LILIANA ROJKES,TUCUMAN,FRENTE PARA LA VICTORIA - PJ,2015-01-01,2017-12-09,curado:inferido,FpV Tucuman. REVISAR
Guillermo Eugenio Mario Snopek,EUGENIO GUILLERMO MARIO SNOPEK,JUJUY,FRENTE NACIONAL Y POPULAR,2021-12-10,2023-02-21,curado:manual,"hasta creacion de UNIDAD FEDERAL (22/02/2023, Infobae). Sub-bloque FdT: REVISAR"
Edgardo Darío Kueider,DARIO EDGARDO KUEIDER,ENTRE RIOS,FRENTE NACIONAL Y POPULAR,2021-12-10,2023-02-21,curado:manual,"hasta creacion de UNIDAD FEDERAL (22/02/2023, Infobae). Sub-bloque FdT: REVISAR"
Carlos Mauricio Espínola,CARLOS ESPINOLA MAURICIO,CORRIENTES,FRENTE NACIONAL Y POPULAR,2021-12-10,2023-02-21,curado:manual,"hasta creacion de UNIDAD FEDERAL (22/02/2023, Infobae). Sub-bloque FdT: REVISAR"
María Eugenia Catalfamo,CATALFAMO EUGENIA MARIA,SAN LUIS,FRENTE NACIONAL Y POPULAR,2021-12-10,2023-02-21,curado:manual,"hasta creacion de UNIDAD FEDERAL (22/02/2023, Infobae). Sub-bloque FdT: REVISAR"
Alejandra María Vigo,ALEJANDRA MARIA VIGO,CORDOBA,CÓRDOBA FEDERAL,2021-12-10,2023-02-21,curado:manual,Cordoba Federal hasta creacion de UNIDAD FEDERAL (22/02/2023)
"LEDESMA ABDALA DE ZAMORA, CLAUDIA",ABDALA CLAUDIA LEDESMA ZAMORA,SANTIAGO DEL ESTERO,FRENTE DE TODOS,2019-12-10,2021-12-09,curado:manual,wiki la nombra C. Alejandra Ledesma Abdala (variante); bloque segun anexo 2019-21
"LEDESMA ABDALA DE ZAMORA, CLAUDIA",ABDALA CLAUDIA LEDESMA ZAMORA,SANTIAGO DEL ESTERO,FRENTE NACIONAL Y POPULAR,2021-12-10,2023-12-09,curado:manual,variante de nombre; bloque segun anexo 2021-23
"WERETILNECK, ALBERTO EDGARDO",ALBERTO EDGARDO WERETILNECK,RIO NEGRO,JUNTOS SOMOS RÍO NEGRO,2021-12-10,2023-12-09,curado:manual,falta en anexo wiki 2021-23; continua igual que 2019-21
"TORRES, IGNACIO AGUSTÍN",AGUSTIN IGNACIO TORRES,CHUBUT,FRENTE PRO,2021-12-10,2023-12-09,curado:manual,falta en anexo wiki 2021-23; senador PRO Chubut 2021-23. REVISAR
"CORNEJO, ALFREDO VICTOR",ALFREDO CORNEJO VICTOR,MENDOZA,UNIÓN CÍVICA RADICAL,2021-12-10,2023-12-09,curado:manual,falta en anexo wiki 2021-23; senador UCR Mendoza 2021-23
"RODRÍGUEZ, MATÍAS DAVID",DAVID MATIAS RODRIGUEZ,TIERRA DEL FUEGO,UNIDAD CIUDADANA,2021-12-10,2023-12-09,curado:manual,"falta en anexo wiki 2021-23 (pese a que vota hasta 2023, ver acta PDF 2405); sub-bloque como su par Dure (UC). REVISAR"
"OLALLA, STELLA MARIS",MARIS OLALLA STELLA,ENTRE RIOS,UNIÓN CÍVICA RADICAL,2021-12-10,2023-12-09,curado:manual,anexo wiki 2021-23 tiene fechas rotas en su fila; UCR continuo 2019-2025
"GONZÁLEZ RIOLLO, GABRIELA",GABRIELA GONZALEZ RIOLLO,SAN LUIS,AVANZAR SAN LUIS,2021-12-09,2021-12-09,curado:manual,"sesion del 09/12/2021, un dia antes del inicio formal del mandato; mismo bloque que su fila 2021-23"
