senador,clave,provincia,bloque,desde,hasta,fuente,nota
Andrea Marcela Cristina,ANDREA CRISTINA MARCELA,PROVINCIA DEL CHUBUT CHUBUT,CAMBIO FEDERAL,2023-12-10,2023-12-09,wikipedia:2021-2023,
Martín Lousteau,LOUSTEAU MARTIN,CIUDAD DE BUENOS AIRES CIUDAD DE BUENOS AIRES,UNIÓN CÍVICA RADICAL,2021-12-10,2023-12-09,wikipedia:2021-2023,
Mariano Recalde,MARIANO RECALDE,CIUDAD DE BUENOS AIRES CIUDAD DE BUENOS AIRES,FRENTE NACIONAL Y POPULAR,2021-12-10,2023-12-09,wikipedia:2021-2023,
Guadalupe Tagliaferri,GUADALUPE TAGLIAFERRI,CIUDAD DE BUENOS AIRES CIUDAD DE BUENOS AIRES,FRENTE PRO,2021-12-10,2023-12-09,wikipedia:2021-2023,
Carmen Álvarez Rivero,ALVAREZ CARMEN RIVERO,PROVINCIA DE CORDOBA (ARGENTINA) CORDOBA,FRENTE PRO,2021-12-10,2023-12-09,wikipedia:2021-2023,
Luis Alfredo Juez,ALFREDO JUEZ LUIS,PROVINCIA DE CORDOBA (ARGENTINA) CORDOBA,FRENTE PRO,2021-12-10,2023-12-09,wikipedia:2021-2023,
Alejandra María Vigo,ALEJANDRA MARIA VIGO,PROVINCIA DE CORDOBA (ARGENTINA) CORDOBA,UNIDAD FEDERAL,2021-12-10,2023-12-09,wikipedia:2021-2023,
Carlos Mauricio Espínola,CARLOS ESPINOLA MAURICIO,PROVINCIA DE CORRIENTES CORRIENTES,UNIDAD FEDERAL,2021-12-10,2023-12-09,wikipedia:2021-2023,
Mercedes Gabriela Valenzuela,GABRIELA MERCEDES VALENZUELA,PROVINCIA DE CORRIENTES CORRIENTES,UNIÓN CÍVICA RADICAL,2021-12-10,2023-12-09,wikipedia:2021-2023,
Eduardo Alejandro Vischi,ALEJANDRO EDUARDO VISCHI,PROVINCIA DE CORRIENTES CORRIENTES,UNIÓN CÍVICA RADICAL,2021-12-10,2023-12-09,wikipedia:2021-2023,
Alfredo Luis de Angeli,ALFREDO ANGELI LUIS,PROVINCIA DE ENTRE RIOS ENTRE RIOS,FRENTE PRO,2021-12-10,2023-12-09,wikipedia:2021-2023,
Edgardo Darío Kueider,DARIO EDGARDO KUEIDER,PROVINCIA DE ENTRE RIOS ENTRE RIOS,UNIDAD FEDERAL,2021-12-10,2023-12-09,wikipedia:2021-2023,
Stella Maris Elisa Olalla de Moreira,ELISA MARIS MOREIRA OLALLA STELLA,PROVINCIA DE ENTRE RIOS ENTRE RIOS,UNIÓN CÍVICA RADICAL,2023-12-10,2023-12-09,wikipedia:2021-2023,
María Teresa Margarita González,GONZALEZ MARGARITA MARIA TERESA,PROVINCIA DE FORMOSA FORMOSA,FRENTE NACIONAL Y POPULAR,2021-12-10,2023-12-09,wikipedia:2021-2023,
José Miguel Ángel Mayans,ANGEL JOSE MAYANS MIGUEL,PROVINCIA DE FORMOSA FORMOSA,FRENTE NACIONAL Y POPULAR,2021-12-10,2023-12-09,wikipedia:2021-2023,
Luis Carlos Petcoff Naidenoff,CARLOS LUIS NAIDENOFF PETCOFF,PROVINCIA DE FORMOSA FORMOSA,UNIÓN CÍVICA RADICAL,2021-12-10,2023-12-09,wikipedia:2021-2023,
Mario Raymundo Fiad,FIAD MARIO RAYMUNDO,PROVINCIA DE JUJUY JUJUY,UNIÓN CÍVICA RADICAL,2021-12-10,2023-12-09,wikipedia:2021-2023,
Silvia del Rosario Giacoppo,GIACOPPO ROSARIO SILVIA,PROVINCIA DE JUJUY JUJUY,UNIÓN CÍVICA RADICAL,2021-12-10,2023-12-09,wikipedia:2021-2023,
Guillermo Eugenio Mario Snopek,EUGENIO GUILLERMO MARIO SNOPEK,PROVINCIA DE JUJUY JUJUY,UNIDAD FEDERAL,2021-12-10,2023-12-09,wikipedia:2021-2023,
Daniel Pablo Bensusán,BENSUSAN DANIEL PABLO,PROVINCIA DE LA PAMPA LA PAMPA,FRENTE NACIONAL Y POPULAR,2021-12-10,2023-12-09,wikipedia:2021-2023,
Daniel Ricardo Kroneberger,DANIEL KRONEBERGER RICARDO,PROVINCIA DE LA PAMPA LA PAMPA,UNIÓN CÍVICA RADICAL,2021-12-10,2023-12-09,wikipedia:2021-2023,
María Victoria Huala,HUALA MARIA VICTORIA,PROVINCIA DE LA PAMPA LA PAMPA,FRENTE PRO,2021-12-10,2023-12-09,wikipedia:2021-2023,
Ricardo Antonio Guerra,ANTONIO GUERRA RICARDO,PROVINCIA DE LA RIOJA (ARGENTINA) LA RIOJA,FRENTE NACIONAL Y POPULAR,2021-12-10,2023-12-09,wikipedia:2021-2023,
Julio César Martínez,CESAR JULIO MARTINEZ,PROVINCIA DE LA RIOJA (ARGENTINA) LA RIOJA,UNIÓN CÍVICA RADICAL,2021-12-10,2023-12-09,wikipedia:2021-2023,
María Clara Vega,CLARA MARIA VEGA,PROVINCIA DE LA RIOJA (ARGENTINA) LA RIOJA,MEDIAR ARGENTINA,2021-12-10,2023-12-09,wikipedia:2021-2023,
Rodolfo Suárez,RODOLFO SUAREZ,PROVINCIA DE MENDOZA MENDOZA,UNIÓN CÍVICA RADICAL,2023-12-10,2023-12-09,wikipedia:2021-2023,
Anabel Fernández Sagasti,ANABEL FERNANDEZ SAGASTI,PROVINCIA DE MENDOZA MENDOZA,UNIDAD CIUDADANA,2021-12-10,2023-12-09,wikipedia:2021-2023,
Mariana Juri,JURI MARIANA,PROVINCIA DE MENDOZA MENDOZA,UNIÓN CÍVICA RADICAL,2021-12-10,2023-12-09,wikipedia:2021-2023,
Maurice Fabián Closs,CLOSS FABIAN MAURICE,PROVINCIA DE MISIONES MISIONES,FRENTE NACIONAL Y POPULAR,2021-12-10,2023-12-09,wikipedia:2021-2023,
Humberto Luis Arturo Schiavoni,ARTURO HUMBERTO LUIS SCHIAVONI,PROVINCIA DE MISIONES MISIONES,FRENTE PRO,2021-12-10,2023-12-09,wikipedia:2021-2023,
Magdalena Solari Quintana,MAGDALENA QUINTANA SOLARI,PROVINCIA DE MISIONES MISIONES,MISIONES,2021-12-10,2023-12-09,wikipedia:2021-2023,
Carmen Lucila Crexell,CARMEN CREXELL LUCILA,PROVINCIA DEL NEUQUEN NEUQUEN,CAMBIO FEDERAL,2021-12-10,2023-12-09,wikipedia:2021-2023,
Oscar Isidro Parrilli,ISIDRO OSCAR PARRILLI,PROVINCIA DEL NEUQUEN NEUQUEN,UNIDAD CIUDADANA,2021-12-10,2023-12-09,wikipedia:2021-2023,
Silvia Estela Sapag,ESTELA SAPAG SILVIA,PROVINCIA DEL NEUQUEN NEUQUEN,UNIDAD CIUDADANA,2021-12-10,2023-12-09,wikipedia:2021-2023,
Claudio Martín Doñate,CLAUDIO DONATE MARTIN,PROVINCIA DE RIO NEGRO RIO NEGRO,UNIDAD CIUDADANA,2021-12-10,2023-12-09,wikipedia:2021-2023,
Silvina Marcela García Larraburu,GARCIA LARRABURU MARCELA SILVINA,PROVINCIA DE RIO NEGRO RIO NEGRO,UNIDAD CIUDADANA,2021-12-10,2023-12-09,wikipedia:2021-2023,
Mónica Esther Silva,ESTHER MONICA SILVA,PROVINCIA DE RIO NEGRO RIO NEGRO,JUNTOS SOMOS RÍO NEGRO,2023-12-10,2023-12-09,wikipedia:2021-2023,
Nora del Valle Giménez,GIMENEZ NORA VALLE,PROVINCIA DE SALTA SALTA,UNIDAD CIUDADANA,2021-12-10,2023-12-09,wikipedia:2021-2023,
Sergio Napoleón Leavy,LEAVY NAPOLEON SERGIO,PROVINCIA DE SALTA SALTA,UNIDAD CIUDADANA,2021-12-10,2023-12-09,wikipedia:2021-2023,
Juan Carlos Romero,CARLOS JUAN ROMERO,PROVINCIA DE SALTA SALTA,CAMBIO FEDERAL,2021-12-10,2023-12-09,wikipedia:2021-2023,
Roberto Gustavo Basualdo,BASUALDO GUSTAVO ROBERTO,PROVINCIA DE SAN JUAN (ARGENTINA) SAN JUAN,PRODUCCIÓN Y TRABAJO,2021-12-10,2023-12-09,wikipedia:2021-2023,
Cristina del Carmen López Valverde,CARMEN CRISTINA LOPEZ VALVERDE,PROVINCIA DE SAN JUAN (ARGENTINA) SAN JUAN,FRENTE NACIONAL Y POPULAR,2021-12-10,2023-12-09,wikipedia:2021-2023,
José Rubén Uñac,JOSE RUBEN UNAC,PROVINCIA DE SAN JUAN (ARGENTINA) SAN JUAN,FRENTE NACIONAL Y POPULAR,2021-12-10,2023-12-09,wikipedia:2021-2023,
María Eugenia Catalfamo,CATALFAMO EUGENIA MARIA,PROVINCIA DE SAN LUIS SAN LUIS,UNIDAD FEDERAL,2021-12-10,2023-12-09,wikipedia:2021-2023,
Gabriela González Riollo,GABRIELA GONZALEZ RIOLLO,PROVINCIA DE SAN LUIS SAN LUIS,AVANZAR SAN LUIS,2021-12-10,2023-12-09,wikipedia:2021-2023,
Adolfo Rodríguez Saá,ADOLFO RODRIGUEZ SAA,PROVINCIA DE SAN LUIS SAN LUIS,FRENTE NACIONAL Y POPULAR,2021-12-10,2023-12-09,wikipedia:2021-2023,
Eduardo Raúl Costa,COSTA EDUARDO RAUL,PROVINCIA DE SANTA CRUZ SANTA CRUZ,UNIÓN CÍVICA RADICAL,2021-12-10,2023-12-09,wikipedia:2021-2023,
Ana María Ianni,ANA IANNI MARIA,PROVINCIA DE SANTA CRUZ SANTA CRUZ,UNIDAD CIUDADANA,2021-12-10,2023-12-09,wikipedia:2021-2023,
María Belén Tapia,BELEN MARIA TAPIA,PROVINCIA DE SANTA CRUZ SANTA CRUZ,UNIÓN CÍVICA RADICAL,2021-12-10,2023-12-09,wikipedia:2021-2023,
Marcelo Néstor Lewandowski,LEWANDOWSKI MARCELO NESTOR,PROVINCIA DE SANTA FE SANTA FE,FRENTE NACIONAL Y POPULAR,2021-12-10,2023-12-09,wikipedia:2021-2023,
Carolina Losada,CAROLINA LOSADA,PROVINCIA DE SANTA FE SANTA FE,UNIÓN CÍVICA RADICAL,2021-12-10,2023-12-09,wikipedia:2021-2023,
Dionisio Fernando Scarpín,DIONISIO FERNANDO SCARPIN,PROVINCIA DE SANTA FE SANTA FE,UNIÓN CÍVICA RADICAL,2021-12-10,2023-12-09,wikipedia:2021-2023,
Claudia Alejandra Ledesma  Abdala,ABDALA ALEJANDRA CLAUDIA LEDESMA,PROVINCIA DE SANTIAGO DEL ESTERO SANTIAGO DEL ESTERO,FRENTE NACIONAL Y POPULAR,2021-12-10,2023-12-09,wikipedia:2021-2023,
Gerardo Antenor Montenegro,ANTENOR GERARDO MONTENEGRO,PROVINCIA DE SANTIAGO DEL ESTERO SANTIAGO DEL ESTERO,FRENTE NACIONAL Y POPULAR,2021-12-10,2023-12-09,wikipedia:2021-2023,
José Emilio Neder,EMILIO JOSE NEDER,PROVINCIA DE SANTIAGO DEL ESTERO SANTIAGO DEL ESTERO,FRENTE NACIONAL Y POPULAR,2021-12-10,2023-12-09,wikipedia:2021-2023,
Pablo Daniel Blanco,BLANCO DANIEL PABLO,"PROVINCIA DE TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR TIERRA DEL FUEGO",UNIÓN CÍVICA RADICAL,2021-12-10,2023-12-09,wikipedia:2021-2023,
María Eugenia Duré,DURE EUGENIA MARIA,"PROVINCIA DE TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR TIERRA DEL FUEGO",UNIDAD CIUDADANA,2021-12-10,2023-12-09,wikipedia:2021-2023,
Cándida Cristina López,CANDIDA CRISTINA LOPEZ,"PROVINCIA DE TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR TIERRA DEL FUEGO",UNIDAD CIUDADANA,2023-12-07,2023-12-09,wikipedia:2021-2023,
Beatriz Luisa Ávila,AVILA BEATRIZ LUISA,PROVINCIA DE TUCUMAN TUCUMAN,PARTIDO POR LA JUSTICIA SOCIAL,2021-12-10,2023-12-09,wikipedia:2021-2023,
Sandra Mariela Mendoza,MARIELA MENDOZA SANDRA,PROVINCIA DE TUCUMAN TUCUMAN,FRENTE NACIONAL Y POPULAR,2021-12-10,2023-12-09,wikipedia:2021-2023,
Pablo Yedlin,PABLO YEDLIN,PROVINCIA DE TUCUMAN TUCUMAN,FRENTE NACIONAL Y POPULAR,2021-12-10,2023-12-09,wikipedia:2021-2023,
Maximiliano Abad,ABAD MAXIMILIANO,PROVINCIA DE BUENOS AIRES BUENOS AIRES,UNIÓN CÍVICA RADICAL,2023-12-10,2025-12-09,wikipedia:2023-2025,
Eduardo Wado de Pedro,EDUARDO PEDRO WADO,PROVINCIA DE BUENOS AIRES BUENOS AIRES,UNIDAD CIUDADANA,2023-12-10,2025-12-09,wikipedia:2023-2025,
Juliana Di Tullio,JULIANA TULLIO,PROVINCIA DE BUENOS AIRES BUENOS AIRES,UNIDAD CIUDADANA,2023-12-10,2025-12-09,wikipedia:2023-2025,
Lucía Corpacci,CORPACCI LUCIA,PROVINCIA DE CATAMARCA CATAMARCA,FRENTE NACIONAL Y POPULAR,2023-12-10,2025-12-09,wikipedia:2023-2025,
Flavio Fama,FAMA FLAVIO,PROVINCIA DE CATAMARCA CATAMARCA,UNIÓN CÍVICA RADICAL,2023-12-10,2025-12-09,wikipedia:2023-2025,
Guillermo Andrada,ANDRADA GUILLERMO,PROVINCIA DE CATAMARCA CATAMARCA,CONVICCIÓN FEDERAL,2023-12-10,2025-12-09,wikipedia:2023-2025,
María Inés Pilatti Vergara,INES MARIA PILATTI VERGARA,PROVINCIA DEL CHACO CHACO,FRENTE NACIONAL Y POPULAR,2023-12-10,2025-12-09,wikipedia:2023-2025,
Antonio José Rodas,ANTONIO JOSE RODAS,PROVINCIA DEL CHACO CHACO,FRENTE NACIONAL Y POPULAR,2023-12-10,2025-12-09,wikipedia:2023-2025,
Víctor Zimmermann,VICTOR ZIMMERMANN,PROVINCIA DEL CHACO CHACO,UNIÓN CÍVICA RADICAL,2023-12-10,2025-12-09,wikipedia:2023-2025,
Andrea Marcela Cristina,ANDREA CRISTINA MARCELA,PROVINCIA DEL CHUBUT CHUBUT,FRENTE PRO [ 10 ],2023-12-10,2025-12-09,wikipedia:2023-2025,
Carlos Linares,CARLOS LINARES,PROVINCIA DEL CHUBUT CHUBUT,UNIDAD CIUDADANA,2023-12-10,2025-12-09,wikipedia:2023-2025,
Edith Terenzi,EDITH TERENZI,PROVINCIA DEL CHUBUT CHUBUT,DESPIERTA CHUBUT [ 12 ],2023-12-10,2025-12-09,wikipedia:2023-2025,
Martín Lousteau,LOUSTEAU MARTIN,CIUDAD DE BUENOS AIRES CIUDAD DE BUENOS AIRES,UNIÓN CÍVICA RADICAL,2023-12-10,2025-12-09,wikipedia:2023-2025,
Mariano Recalde,MARIANO RECALDE,CIUDAD DE BUENOS AIRES CIUDAD DE BUENOS AIRES,FRENTE NACIONAL Y POPULAR,2023-12-10,2025-12-09,wikipedia:2023-2025,
Guadalupe Tagliaferri,GUADALUPE TAGLIAFERRI,CIUDAD DE BUENOS AIRES CIUDAD DE BUENOS AIRES,FRENTE PRO,2023-12-10,2025-12-09,wikipedia:2023-2025,
Carmen Álvarez Rivero,ALVAREZ CARMEN RIVERO,PROVINCIA DE CORDOBA (ARGENTINA) CORDOBA,LA LIBERTAD AVANZA,2023-12-10,2025-12-09,wikipedia:2023-2025,
Luis Juez,JUEZ LUIS,PROVINCIA DE CORDOBA (ARGENTINA) CORDOBA,FRENTE CÍVICO DE CÓRDOBA,2023-12-10,2025-12-09,wikipedia:2023-2025,
Alejandra Vigo,ALEJANDRA VIGO,PROVINCIA DE CORDOBA (ARGENTINA) CORDOBA,UNIDAD FEDERAL,2023-12-10,2025-12-09,wikipedia:2023-2025,
Carlos Mauricio Espínola,CARLOS ESPINOLA MAURICIO,PROVINCIA DE CORRIENTES CORRIENTES,UNIDAD FEDERAL,2023-12-10,2025-12-09,wikipedia:2023-2025,
Mercedes Valenzuela,MERCEDES VALENZUELA,PROVINCIA DE CORRIENTES CORRIENTES,UNIÓN CÍVICA RADICAL,2023-12-10,2025-12-09,wikipedia:2023-2025,
Eduardo Vischi,EDUARDO VISCHI,PROVINCIA DE CORRIENTES CORRIENTES,UNIÓN CÍVICA RADICAL,2023-12-10,2025-12-09,wikipedia:2023-2025,
Alfredo de Ángeli,ALFREDO ANGELI,PROVINCIA DE ENTRE RIOS ENTRE RIOS,FRENTE PRO,2023-12-10,2025-12-09,wikipedia:2023-2025,
Stefanía Cora,CORA STEFANIA,PROVINCIA DE ENTRE RIOS ENTRE RIOS,UNIDAD CIUDADANA,2025-02-20,2025-12-09,wikipedia:2023-2025,
Stella Maris Olalla de Moreira,MARIS MOREIRA OLALLA STELLA,PROVINCIA DE ENTRE RIOS ENTRE RIOS,UNIÓN CÍVICA RADICAL,2023-12-10,2025-12-09,wikipedia:2023-2025,
María Teresa Margarita González,GONZALEZ MARGARITA MARIA TERESA,PROVINCIA DE FORMOSA FORMOSA,FRENTE NACIONAL Y POPULAR,2023-12-10,2025-12-09,wikipedia:2023-2025,
José Miguel Ángel Mayans,ANGEL JOSE MAYANS MIGUEL,PROVINCIA DE FORMOSA FORMOSA,FRENTE NACIONAL Y POPULAR,2023-12-10,2025-12-09,wikipedia:2023-2025,
Francisco Paoltroni,FRANCISCO PAOLTRONI,PROVINCIA DE FORMOSA FORMOSA,LA LIBERTAD AVANZA,2023-12-10,2025-12-09,wikipedia:2023-2025,
Ezequiel Atauche,ATAUCHE EZEQUIEL,PROVINCIA DE JUJUY JUJUY,LA LIBERTAD AVANZA,2023-12-10,2025-12-09,wikipedia:2023-2025,
Vilma Facunda Bedia,BEDIA FACUNDA VILMA,PROVINCIA DE JUJUY JUJUY,LA LIBERTAD AVANZA,2023-12-10,2025-12-09,wikipedia:2023-2025,
María Carolina Moisés,CAROLINA MARIA MOISES,PROVINCIA DE JUJUY JUJUY,CONVICCIÓN FEDERAL,2023-12-10,2025-12-09,wikipedia:2023-2025,
Daniel Pablo Bensusán,BENSUSAN DANIEL PABLO,PROVINCIA DE LA PAMPA LA PAMPA,FRENTE NACIONAL Y POPULAR,2023-12-10,2025-12-09,wikipedia:2023-2025,
Daniel Kroneberger,DANIEL KRONEBERGER,PROVINCIA DE LA PAMPA LA PAMPA,UNIÓN CÍVICA RADICAL,2023-12-10,2025-12-09,wikipedia:2023-2025,
María Victoria Huala,HUALA MARIA VICTORIA,PROVINCIA DE LA PAMPA LA PAMPA,FRENTE PRO,2023-12-10,2025-12-09,wikipedia:2023-2025,
María Florencia López,FLORENCIA LOPEZ MARIA,PROVINCIA DE LA RIOJA (ARGENTINA) LA RIOJA,FRENTE NACIONAL Y POPULAR,2023-12-10,2025-12-09,wikipedia:2023-2025,
Juan Carlos Pagotto,CARLOS JUAN PAGOTTO,PROVINCIA DE LA RIOJA (ARGENTINA) LA RIOJA,LA LIBERTAD AVANZA,2023-12-10,2025-12-09,wikipedia:2023-2025,
Jesús Fernando Rejal,FERNANDO JESUS REJAL,PROVINCIA DE LA RIOJA (ARGENTINA) LA RIOJA,CONVICCIÓN FEDERAL,2023-12-10,2025-12-09,wikipedia:2023-2025,
Anabel Fernández Sagasti,ANABEL FERNANDEZ SAGASTI,PROVINCIA DE MENDOZA MENDOZA,UNIDAD CIUDADANA,2023-12-10,2025-12-09,wikipedia:2023-2025,
Mariana Juri,JURI MARIANA,PROVINCIA DE MENDOZA MENDOZA,UNIÓN CÍVICA RADICAL,2023-12-10,2025-12-09,wikipedia:2023-2025,
Rodolfo Alejandro Suárez,ALEJANDRO RODOLFO SUAREZ,PROVINCIA DE MENDOZA MENDOZA,UNIÓN CÍVICA RADICAL,2023-12-10,2025-12-09,wikipedia:2023-2025,
Carlos Omar Arce,ARCE CARLOS OMAR,PROVINCIA DE MISIONES MISIONES,FRENTE RENOVADOR DE LA CONCORDIA SOCIAL,2023-12-10,2025-12-09,wikipedia:2023-2025,
Enrique Martín Goerling Lara,ENRIQUE GOERLING LARA MARTIN,PROVINCIA DE MISIONES MISIONES,FRENTE PRO,2023-12-10,2025-12-09,wikipedia:2023-2025,
Sonia Elizabeth Rojas Decut,DECUT ELIZABETH ROJAS SONIA,PROVINCIA DE MISIONES MISIONES,FRENTE RENOVADOR DE LA CONCORDIA SOCIAL,2023-12-10,2025-12-09,wikipedia:2023-2025,
Carmen Lucila Crexell,CARMEN CREXELL LUCILA,PROVINCIA DEL NEUQUEN NEUQUEN,MOVIMIENTO NEUQUINO,2023-12-10,2025-12-09,wikipedia:2023-2025,
Oscar Parrilli,OSCAR PARRILLI,PROVINCIA DEL NEUQUEN NEUQUEN,UNIDAD CIUDADANA,2023-12-10,2025-12-09,wikipedia:2023-2025,
Silvia Sapag,SAPAG SILVIA,PROVINCIA DEL NEUQUEN NEUQUEN,UNIDAD CIUDADANA,2023-12-10,2025-12-09,wikipedia:2023-2025,
Claudio Martín Doñate,CLAUDIO DONATE MARTIN,PROVINCIA DE RIO NEGRO RIO NEGRO,UNIDAD CIUDADANA,2023-12-10,2025-12-09,wikipedia:2023-2025,
Silvina García Larraburu,GARCIA LARRABURU SILVINA,PROVINCIA DE RIO NEGRO RIO NEGRO,UNIDAD CIUDADANA,2023-12-10,2025-12-09,wikipedia:2023-2025,
Mónica Esther Silva,ESTHER MONICA SILVA,PROVINCIA DE RIO NEGRO RIO NEGRO,JUNTOS SOMOS RÍO NEGRO,2023-12-10,2025-12-09,wikipedia:2023-2025,
Nora Giménez,GIMENEZ NORA,PROVINCIA DE SALTA SALTA,UNIDAD CIUDADANA,2023-12-10,2025-12-09,wikipedia:2023-2025,
Sergio Leavy,LEAVY SERGIO,PROVINCIA DE SALTA SALTA,UNIDAD CIUDADANA,2023-12-10,2025-12-09,wikipedia:2023-2025,
Juan Carlos Romero,CARLOS JUAN ROMERO,PROVINCIA DE SALTA SALTA,CAMBIO FEDERAL [ 17 ],2023-12-10,2025-12-09,wikipedia:2023-2025,
María Celeste Giménez Navarro,CELESTE GIMENEZ MARIA NAVARRO,PROVINCIA DE SAN JUAN (ARGENTINA) SAN JUAN,UNIDAD CIUDADANA,2023-12-10,2025-12-09,wikipedia:2023-2025,
Bruno Olivera Lucero,BRUNO LUCERO OLIVERA,PROVINCIA DE SAN JUAN (ARGENTINA) SAN JUAN,LA LIBERTAD AVANZA,2023-12-10,2025-12-09,wikipedia:2023-2025,
Sergio Uñac,SERGIO UNAC,PROVINCIA DE SAN JUAN (ARGENTINA) SAN JUAN,FRENTE NACIONAL Y POPULAR,2023-12-10,2025-12-09,wikipedia:2023-2025,
Bartolomé Abdala,ABDALA BARTOLOME,PROVINCIA DE SAN LUIS SAN LUIS,LA LIBERTAD AVANZA,2023-12-10,2025-12-09,wikipedia:2023-2025,
Ivanna Marcela Arrascaeta,ARRASCAETA IVANNA MARCELA,PROVINCIA DE SAN LUIS SAN LUIS,LA LIBERTAD AVANZA,2023-12-10,2025-12-09,wikipedia:2023-2025,
Fernando Aldo Salino,ALDO FERNANDO SALINO,PROVINCIA DE SAN LUIS SAN LUIS,CONVICCIÓN FEDERAL,2023-12-10,2025-12-09,wikipedia:2023-2025,
José María Carambia,CARAMBIA JOSE MARIA,PROVINCIA DE SANTA CRUZ SANTA CRUZ,POR SANTA CRUZ,2023-12-10,2025-12-09,wikipedia:2023-2025,
Natalia Elena Gadano,ELENA GADANO NATALIA,PROVINCIA DE SANTA CRUZ SANTA CRUZ,POR SANTA CRUZ,2023-12-10,2025-12-09,wikipedia:2023-2025,
Alicia Kirchner,ALICIA KIRCHNER,PROVINCIA DE SANTA CRUZ SANTA CRUZ,UNIDAD CIUDADANA,2023-12-10,2025-12-09,wikipedia:2023-2025,
Marcelo Lewandowski,LEWANDOWSKI MARCELO,PROVINCIA DE SANTA FE SANTA FE,FRENTE NACIONAL Y POPULAR,2023-12-10,2025-12-09,wikipedia:2023-2025,
Carolina Losada,CAROLINA LOSADA,PROVINCIA DE SANTA FE SANTA FE,UNIÓN CÍVICA RADICAL,2023-12-10,2025-12-09,wikipedia:2023-2025,
Eduardo Galaretto,EDUARDO GALARETTO,PROVINCIA DE SANTA FE SANTA FE,UNIÓN CÍVICA RADICAL,2023-12-10,2025-12-09,wikipedia:2023-2025,
Claudia Ledesma Abdala de Zamora,ABDALA CLAUDIA LEDESMA ZAMORA,PROVINCIA DE SANTIAGO DEL ESTERO SANTIAGO DEL ESTERO,FRENTE NACIONAL Y POPULAR,2023-12-10,2025-12-09,wikipedia:2023-2025,
Gerardo Antenor Montenegro,ANTENOR GERARDO MONTENEGRO,PROVINCIA DE SANTIAGO DEL ESTERO SANTIAGO DEL ESTERO,FRENTE NACIONAL Y POPULAR,2023-12-10,2025-12-09,wikipedia:2023-2025,
José Emilio Neder,EMILIO JOSE NEDER,PROVINCIA DE SANTIAGO DEL ESTERO SANTIAGO DEL ESTERO,FRENTE NACIONAL Y POPULAR,2023-12-10,2025-12-09,wikipedia:2023-2025,
Pablo Daniel Blanco,BLANCO DANIEL PABLO,"PROVINCIA DE TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR TIERRA DEL FUEGO",UNIÓN CÍVICA RADICAL,2023-12-10,2025-12-09,wikipedia:2023-2025,
María Eugenia Duré,DURE EUGENIA MARIA,"PROVINCIA DE TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR TIERRA DEL FUEGO",UNIDAD CIUDADANA,2023-12-10,2025-12-09,wikipedia:2023-2025,
Cándida Cristina López,CANDIDA CRISTINA LOPEZ,"PROVINCIA DE TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR TIERRA DEL FUEGO",UNIDAD CIUDADANA [ 19 ],2023-12-10,2025-12-09,wikipedia:2023-2025,
Beatriz Luisa Ávila,AVILA BEATRIZ LUISA,PROVINCIA DE TUCUMAN TUCUMAN,INDEPENDENCIA,2023-12-10,2025-12-09,wikipedia:2023-2025,
Juan Manzur,JUAN MANZUR,PROVINCIA DE TUCUMAN TUCUMAN,FRENTE NACIONAL Y POPULAR,2023-12-10,2025-12-09,wikipedia:2023-2025,
Sandra Mariela Mendoza,MARIELA MENDOZA SANDRA,PROVINCIA DE TUCUMAN TUCUMAN,FRENTE NACIONAL Y POPULAR,2023-12-10,2025-12-09,wikipedia:2023-2025,
